start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0,3.59786,0,108,#C C scrubs the #unsure mixture
3.59786,4.28104,108,128,#C C scoops the #unsure mixture
4.28104,4.53604,128,136,#C C lifts the #unsure mixture
4.53604,7.64969,136,229,#C C places the #unsure mixture on the #unsure
7.64969,9.19135,229,276,#C C scoops #unsure mixture
9.19135,11.6072,276,348,C puts the #unsure mixture on the #unsure
11.6072,12.53896,348,376,#C C lifts the right hand up
12.53896,13.86689,376,416,#C C holds the spoon
13.86689,19.57061,416,587,#C C turns the bowl
19.57061,20.17349,587,605,#C C scoops the #unsure mixture
20.17349,21.62193,605,649,#C C holds the pan
21.62193,24.73165,649,742,#C C shakes the pan with the #unsure
24.73165,26.0269,742,781,#C C holds the spoon
26.0269,27.03862,781,811,#C C lifts the pan
27.03862,29.21448,811,876,#C C switches on the cooker
29.21448,30.98025,876,929,#C C scoops the #unsure mixture
30.98025,35.24123,929,1057,#C C places #unsure mixture on #unsure
35.24123,36.35511,1057,1091,#C C scoops #unsure mixture
36.35511,39.10968,1091,1173,#C C puts #unsure mixture on #unsure
39.10968,39.82628,1173,1195,#C C scoops #unsure mixture
39.82628,45.95744,1195,1379,C puts the #unsure mixture on the #unsure
45.95744,53.67817,1379,1610,#C C scoops #unsure mixture
53.67817,57.13624,1610,1714,C puts the #unsure mixture on the #unsure
57.13624,59.63122,1714,1789,#C C scoops #unsure mixture
59.63122,67.53247,1789,2026,C puts the #unsure mixture on the #unsure
67.53247,68.75647,2026,2063,#C C scoops #unsure mixture
68.75647,73.65471,2063,2210,#C C moves the bowl around
73.65471,75.52586,2210,2266,#C C puts the #unsure mixture on the #unsure
75.52586,80.90952,2266,2427,#C C scoops the #unsure
80.90952,87.19569,2427,2616,#C C puts the #unsure mixture on the #unsure
87.19569,88.32417,2616,2650,#C C scoops the #unsure
88.32417,92.6514,2650,2780,#C C puts the #unsure mixture on the #unsure
92.6514,95.5712,2780,2867,#C C scoops the #unsure
95.5712,100.90299,2867,3027,#C C adds the #unsure mixture on the #unsure
100.90299,102.45485,3027,3074,#C C scrub #unsure mixture on the bowl
102.45485,105.00764,3074,3150,#C C moves the# #unsure on the tray
105.00764,107.13527,3150,3214,#C C scoops #unsure mixture
107.13527,112.18072,3214,3365,#C C puts the #unsure mixture on the #unsure
112.18072,122.42907,3365,3673,#C C scoops #unsure mixture
122.42907,129.16448,3673,3875,#C C puts the #unsure mixture on the #unsure
129.16448,131.10068,3875,3933,#C C scoops #unsure mixture
131.10068,133.13849,3933,3994,#C C puts the #unsure mixture on the #unsure
133.13849,134.26937,3994,4028,#C C drops the spoon on the bowl
134.26937,135.83294,4028,4075,#C C moves the# #unsure on the tray
135.83294,139.7555,4075,4193,#C C moves the bowl around
139.7555,141.6765,4193,4250,#C C scrubs the #unsure mixture
141.6765,143.15565,4250,4295,#C C walks towards the sink
143.15565,144.17955,4295,4325,#C C holds the cellphone
144.17955,146.55767,4325,4397,#C C dials the cellphone
146.55767,154.26108,4397,4628,#C C picks the cellphone
154.26108,159.58247,4628,4787,#C C turns around
159.58247,160.27963,4787,4808,#C C lifts the right hand up
160.27963,162.59958,4808,4878,#C C walks around the kitchen
162.59958,163.73484,4878,4912,#C C scoops the #unsure mixture
163.73484,165.91316,4912,4977,#C C adds the #unsure mixture on the #unsure
165.91316,166.5291,4977,4996,#C C scoops #unsure mixture
166.5291,169.09609,4996,5073,#C C adds the #unsure mixture on the #unsure
169.09609,171.86341,5073,5156,#C C scoops #unsure mixture
171.86341,173.78704,5156,5214,#C C adds the #unsure mixture on the #unsure
173.78704,175.13823,5214,5254,#C C scoops #unsure mixture
175.13823,179.45691,5254,5384,#C C adds the #unsure mixture on the #unsure
179.45691,185.5536,5384,5567,#C C scrubs the #unsure mixture
185.5536,188.55344,5567,5657,#C C moves the bowl
188.55344,189.19754,5657,5676,#C C scoops #unsure mixture
189.19754,191.98392,5676,5760,#C C adds the #unsure mixture on the #unsure
191.98392,194.43236,5760,5833,#C C walks around the kitchen
194.43236,196.53657,5833,5896,#C C dials the cellphone
196.53657,197.07229,5896,5912,#C C scrubs the #unsure mixture
197.07229,198.96391,5912,5969,#C C walks around
198.96391,200.43351,5969,6013,#C C scoops the #unsure mixture
200.43351,209.20897,6013,6276,#C C adds the #unsure mixture on the #unsure
209.20897,211.53966,6276,6346,#C C moves the hand around
211.53966,212.62717,6346,6379,#C C fold the hand
212.62717,216.19447,6379,6486,#C C moves the hand around
216.19447,217.49735,6486,6525,#C C scoops the #unsure mixture
217.49735,220.34607,6525,6610,#C C opens the cabinet
220.34607,221.72704,6610,6652,#C C scoops the #unsure mixture
221.72704,224.02209,6652,6721,#C C adds the #unsure mixture on the #unsure
224.02209,225.63377,6721,6769,#C C moves the bowl
225.63377,227.12182,6769,6814,#C C moves the hand
227.12182,229.50747,6814,6885,#C C scoops the #unsure
229.50747,231.24977,6885,6937,#C C adds the #unsure mixture on the #unsure
231.24977,237.07758,6937,7112,#C C opens the cabinet
237.07758,238.17362,7112,7145,#C C carries #unsure
238.17362,243.34904,7145,7300,#C C walks around
243.34904,249.19344,7300,7476,#C C puts #unsure on the kitchen counter
249.19344,250.59936,7476,7518,#C C adjusts #unsure
