start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
5.0566986,7.8388786,151,235,#C C walks around the kitchen
7.8388786,8.5935686,235,257,#C C picks #unsure
8.5935686,10.9933786,257,329,#C C places #unsure on a cooker
10.9933786,11.7913386,329,353,#C C lifts #unsure
11.7913386,13.770008599999999,353,412,#C C places #unsure on a cooker
13.770008599999999,15.3339786,412,459,#C C picks another #unsure
15.3339786,18.538738600000002,459,556,#C C places #unsure on a cooker
18.538738600000002,19.2664386,556,577,#C C picks a pot
19.2664386,19.6246486,577,588,#C C places a pot on a countertop
19.6246486,21.4871786,588,644,#C C looks around
21.4871786,22.425658600000002,644,672,#O A man y walks away
22.425658600000002,23.4355586,672,702,#O A man y turns around
23.4355586,27.4139986,702,822,#C C pours water
27.4139986,28.434178600000003,822,852,#O A man y walks around
28.434178600000003,30.1803686,852,905,#O A man y walks into another room
30.1803686,33.9047086,905,1017,#C C walks around the room
33.9047086,36.2163086,1017,1086,#O A man X walks out of the room
36.2163086,40.9366386,1086,1227,#C C does #unsure
40.9366386,41.7832586,1227,1253,#C C walks round the room
41.7832586,47.2494386,1253,1417,#C C carries a pot with water
47.2494386,47.6852986,1417,1430,#C C places a pot on a cooker
47.6852986,51.5771486,1430,1547,#C C turns around the room
51.5771486,52.256778600000004,1547,1567,#C C picks a kitchen cloth
52.256778600000004,52.7531786,1567,1582,#C C moves a kitchen cloth
52.7531786,54.9126586,1582,1647,#C C raises his hand
54.9126586,56.3053186,1647,1689,#C C opens a big tin
56.3053186,57.0352786,1689,1710,#C C holds a big tray
57.0352786,57.6921386,1710,1730,#C C holds a tray with her left hand
57.6921386,58.286528600000004,1730,1748,#C C picks a paper of #unsure
58.286528600000004,60.0730286,1748,1802,#C C drops a paper of #unsure
60.0730286,61.0189186,1802,1830,#C C lifts a tray
61.0189186,62.3370886,1830,1869,#C C drops a tray
62.3370886,65.2652686,1869,1957,#C C lifts a tray
65.2652686,66.99781859999999,1957,2009,#C C pours rice in a tray
66.99781859999999,70.4972186,2009,2114,#C C scoops rice from a tin
70.4972186,72.69413859999999,2114,2180,#C C pours rice in a tray
72.69413859999999,74.8182386,2180,2244,#C C scoops rice from a tin
74.8182386,75.74634859999999,2244,2272,#C C pours rice in a tray
75.74634859999999,77.2866586,2272,2318,#C C drops a cup in a tin
77.2866586,78.1112486,2318,2343,#C C closes a tin
78.1112486,79.07299859999999,2343,2372,#C C turns right
79.07299859999999,79.29434859999999,2372,2378,#C C touches her cloth
79.29434859999999,80.6637786,2378,2419,#C C puts #unsure on the floor
80.6637786,81.5567186,2419,2446,#C C touches her cloths
81.5567186,83.1402086,2446,2494,#C C touches rice
83.1402086,100.7227386,2494,3021,#C C does #unsure
100.7227386,101.0664686,3021,3031,#C C stops doing #unsure
101.0664686,103.0029886,3031,3089,#C C picks #unsure from rice
103.0029886,104.2853986,3089,3128,#C C throws #unsure
104.2853986,105.3713586,3128,3161,#C C picks #unsure from rice
105.3713586,107.8610186,3161,3235,#C C spreads rice in a tray
107.8610186,108.99490859999999,3235,3269,#C C drops grains of rice
108.99490859999999,109.4799886,3269,3284,#C C picks #unsure from rice
109.4799886,110.2525486,3284,3307,#C C throws #unsure
110.2525486,110.63751859999999,3307,3318,#C C spreads rice in a tray
110.63751859999999,110.98151859999999,3318,3329,#C C scoops rice
110.98151859999999,111.91258859999999,3329,3357,#C C drops grains of rice in a tray
111.91258859999999,113.7089986,3357,3411,#C C picks #unsure from rice
113.7089986,114.62470859999999,3411,3438,#C C throws #unsure
114.62470859999999,117.69091859999999,3438,3530,#C C picks #unsure from rice
117.69091859999999,118.1112386,3530,3543,#C C throws #unsure
118.1112386,120.0714586,3543,3602,#C C spreads rice in a tray
120.0714586,121.84515859999999,3602,3655,#C C does #unsure
121.84515859999999,122.24330859999999,3655,3667,#C C touches rice
122.24330859999999,123.49643859999999,3667,3704,#C C drops grains of rice
123.49643859999999,125.6326986,3704,3768,#C C touches rice
125.6326986,126.8035986,3768,3803,#C C picks #unsure
126.8035986,128.11777859999998,3803,3843,#C C throws #unsure
128.11777859999998,129.3064086,3843,3879,#C C picks #unsure
129.3064086,130.3249286,3879,3909,#C C throws #unsure
130.3249286,130.5590686,3909,3916,#C C scoops rice in a tray
130.5590686,131.5952886,3916,3947,#C C drops rice grains
131.5952886,132.24672859999998,3947,3967,#C C scoops rice in a tray
132.24672859999998,132.9177086,3967,3987,#C C drops rice grains
132.9177086,133.5942186,3987,4007,#C C scoops rice in a tray
133.5942186,134.40055859999998,4007,4031,#C C drops rice grains
134.40055859999998,134.9622686,4031,4048,#C C scoops rice in a tray
134.9622686,136.1398886,4048,4084,#C C drops rice grains
136.1398886,138.5215186,4084,4155,#C C picks #unsure
138.5215186,139.3939486,4155,4181,#C C throws #unsure
139.3939486,139.9379286,4181,4198,#C C spreads rice in a tray
139.9379286,140.54051859999998,4198,4216,#C C scoops rice with her right hand
140.54051859999998,141.4507786,4216,4243,#C C drops rice grains in a tray
141.4507786,142.70570859999998,4243,4281,#C C picks #unsure
142.70570859999998,143.31666859999999,4281,4299,#C C throws #unsure
143.31666859999999,143.6694286,4299,4309,#C C scoops rice in a tray
143.6694286,144.9211186,4309,4347,#C C drops rice grains in a tray
144.9211186,146.65996859999998,4347,4399,#C C scoops rice in a tray
146.65996859999998,147.8091786,4399,4434,#C C spreads rice in a tray
147.8091786,148.55582859999998,4434,4456,#C C scoops rice in a tray
148.55582859999998,150.6304686,4456,4518,#C C drops rice in a tray
150.6304686,151.7288786,4518,4551,#C C touches rice in a tray
151.7288786,152.3601886,4551,4570,#C C spreads rice in a tray
152.3601886,153.9287986,4570,4617,#C C scoops rice in a tray
153.9287986,155.4087486,4617,4662,#C C spreads rice in a tray
155.4087486,158.14544859999998,4662,4744,#C C picks #unsure
158.14544859999998,158.9267386,4744,4767,#C C throws #unsure
158.9267386,159.2547586,4767,4777,#C C picks #unsure
159.2547586,161.1927886,4777,4835,#C C does #unsure
161.1927886,165.4895186,4835,4964,#C C picks #unsure
165.4895186,166.2676686,4964,4987,#C C throws #unsure
166.2676686,166.5282186,4987,4995,#C C spreads rice in a tray
166.5282186,168.0251286,4995,5040,#C C drops rice in a tray
168.0251286,170.7954786,5040,5123,#C C picks #unsure
170.7954786,171.2767586,5123,5138,#C C throws #unsure
171.2767586,171.64312859999998,5138,5149,#C C spreads rice in a tray
171.64312859999998,171.8897586,5149,5156,#C C scoops rice with her hand
171.8897586,172.8388186,5156,5185,#C C drops rice in a tray
172.8388186,174.1001086,5185,5222,#C C spreads rice in a tray
174.1001086,175.0801686,5222,5252,#C C scoops rice with her hand
175.0801686,176.3479686,5252,5290,#C C drops rice in a tray
176.3479686,177.7572686,5290,5332,#C C scoops rice with her hand
177.7572686,177.9596086,5332,5338,#C C spreads rice in a tray
177.9596086,178.5145086,5338,5355,#C C scoops rice with her hand
178.5145086,179.3794886,5355,5381,#C C drops rice grains in a tray
179.3794886,180.0458686,5381,5401,#C C scoops rice with her hand
180.0458686,180.8284286,5401,5424,#C C drops rice grains in a tray
180.8284286,182.2064886,5424,5466,#C C scoops rice with her hand
182.2064886,183.33939859999998,5466,5500,#C C drops rice grains in a tray
183.33939859999998,183.7850286,5500,5513,#C C scoops rice with her hand
183.7850286,185.6603486,5513,5569,#C C drops rice grains in a tray
185.6603486,186.5677586,5569,5596,#C C scoops rice with her hand
186.5677586,187.75568859999998,5596,5632,#C C drops rice grains in a tray
187.75568859999998,188.0094886,5632,5640,#C C scoops rice with her hand
188.0094886,188.9393586,5640,5668,#C C drops rice grains in a tray
188.9393586,189.36537859999999,5668,5680,#C C scoops rice with her hand
189.36537859999999,190.3907686,5680,5711,#C C drops rice grains in a tray
190.3907686,192.3831286,5711,5771,#C C picks #unsure
192.3831286,193.3837786,5771,5801,#C C raises her left hand
193.3837786,193.9426586,5801,5818,#C C touches a tray
193.9426586,194.2847186,5818,5828,#C C scoops rice with her hand
194.2847186,195.6894986,5828,5870,#C C drops rice grains in a tray
195.6894986,200.4382886,5870,6013,#C C touches rice
200.4382886,201.38596859999998,6013,6041,#C C picks rice grains
201.38596859999998,204.7758986,6041,6143,#C C drops rice grains in a tray
204.7758986,205.8648486,6143,6175,#C C spreads rice on a tray
205.8648486,206.9486886,6175,6208,#C C scoops rice
206.9486886,208.0309986,6208,6240,#C C holds a tray
208.0309986,209.1900586,6240,6275,#C C spreads rice in a tray
209.1900586,209.5883986,6275,6287,#C C scoops rice
209.5883986,210.7429086,6287,6322,#C C drops rice grains in a tray
210.7429086,210.9335786,6322,6327,#C C scoops rice
210.9335786,212.7637686,6327,6382,#C C drops rice grains in a tray
212.7637686,213.54579859999998,6382,6406,#C C scoops rice
213.54579859999998,214.7958486,6406,6443,#C C drops rice grains in a tray
214.7958486,215.1301086,6443,6453,#C C spreads rice in a tray
215.1301086,216.30742859999998,6453,6489,#C C drops rice grains in a tray
216.30742859999998,216.6731786,6489,6500,#C C scoops rice
216.6731786,217.9231486,6500,6537,#C C drops rice grains in a tray
217.9231486,218.1626886,6537,6544,#C C scoops rice
218.1626886,219.4195586,6544,6582,#C C drops rice grains in a tray
219.4195586,219.7779286,6582,6593,#C C spreads rice in a tray
219.7779286,221.7099386,6593,6651,#C C scoops rice
221.7099386,222.88532859999998,6651,6686,#C C spreads rice in a tray
222.88532859999998,222.9053286,6686,6687,#C C scoops rice
222.9053286,224.6304786,6687,6738,#C C drops rice grains in a tray
224.6304786,228.9133786,6738,6867,#C C picks #unsure
228.9133786,229.8209186,6867,6894,#C C throws #unsure
229.8209186,230.60443859999998,6894,6918,#C C spreads rice in a tray
230.60443859999998,231.2878486,6918,6938,#C C scoops rice
231.2878486,232.7685086,6938,6982,#C C drops rice grain
232.7685086,234.15019859999998,6982,7024,#C C picks #unsure
234.15019859999998,235.14841859999999,7024,7054,#C C throws #unsure
235.14841859999999,235.4239586,7054,7062,#C C spreads rice in a tray
