start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0210286,0.0210286,0,0,#C C holds a cooking pot
0.0210286,1.4719886,0,44,#C C holds a cooking spoon
1.4719886,19.6580486,44,589,#C C stirs the food
19.6580486,21.4863986,589,644,#C C takes a bowl
21.4863986,25.6882586,644,770,#C C stirs sauce
25.6882586,30.1498186,770,904,#C C adds sauce to the food
30.1498186,32.7876086,904,983,#C C scoops food
32.7876086,33.7825486,983,1013,#C C puts food in the bowl
33.7825486,37.8242186,1013,1134,#C C pours the food in the cooking pot
37.8242186,39.742048600000004,1134,1192,#C C puts away the bowl
39.742048600000004,73.9030286,1192,2216,#C C stirs the food
73.9030286,74.3433086,2216,2230,#C C puts down the cooking spoon
74.3433086,74.80073859999999,2230,2243,#C C takes the chopstick
74.80073859999999,77.5784786,2243,2327,#C C stirs the food
77.5784786,83.15456859999999,2327,2494,#C C scoops vegetable
83.15456859999999,84.85070859999999,2494,2545,#C C puts down chopstick
84.85070859999999,90.88463859999999,2545,2726,#C C stirs the food
90.88463859999999,91.70353859999999,2726,2750,#C C takes chopstick
91.70353859999999,92.7533986,2750,2782,#C C scoops vegetable
92.7533986,93.4008386,2782,2801,#C C puts down chopstick
93.4008386,94.5817086,2801,2837,#C C wipes the cooker
94.5817086,95.40917859999999,2837,2862,#C C walks towards the fridge
95.40917859999999,96.5452186,2862,2896,#C C opens the fridge
96.5452186,98.2470386,2896,2947,#C C takes a bottle
98.2470386,98.9821286,2947,2969,#C C opens a bottle
98.9821286,104.1008986,2969,3122,#C C adds sauce to the food
104.1008986,106.5246186,3122,3195,#C C puts down the bottle
106.5246186,118.5241186,3195,3555,#C C stirs the food
118.5241186,122.11584859999999,3555,3663,#C C takes chopstick
122.11584859999999,125.5605586,3663,3766,#C C scoops vegetable
125.5605586,138.0016286,3766,4139,#C C stirs the food
138.0016286,142.1795086,4139,4265,#C C scoops vegetable
142.1795086,144.6303886,4265,4338,#C C puts down chopstick
144.6303886,151.5392386,4338,4546,#C C stirs the food
151.5392386,153.03737859999998,4546,4590,#C C takes a bottle
153.03737859999998,155.8457486,4590,4675,#C C adds sauce
155.8457486,156.1394786,4675,4684,#C C closes the bottle
156.1394786,156.9627686,4684,4708,#C C walks towards the fridge
156.9627686,157.6553186,4708,4729,#C C opens the fridge
157.6553186,159.5059186,4729,4785,#C C puts the bottle in the fridge
159.5059186,160.7291486,4785,4821,#C C walks to the cooker
160.7291486,169.5489686,4821,5086,#C C stirs the food
169.5489686,170.6059886,5086,5118,#C C takes a plate
170.6059886,171.17535859999998,5118,5135,#C C puts the plate in the sink
171.17535859999998,171.8993686,5135,5156,#C C takes a bowl
171.8993686,173.17580859999998,5156,5195,#C C opens a tab
173.17580859999998,185.3707986,5195,5560,#C C cleans the bowl
185.3707986,186.3326186,5560,5589,#C C puts the bowl away
186.3326186,189.41515859999998,5589,5682,#C C cleans the spoon
189.41515859999998,190.9713086,5682,5729,#C C puts away the spoon
190.9713086,195.01553859999999,5729,5850,#C C cleans the chopstick
195.01553859999999,198.0854886,5850,5942,#C C puts away the chopstick
198.0854886,213.48007859999998,5942,6404,#C C cleans the plate
213.48007859999998,216.34692859999998,6404,6490,#C C puts away the plate
216.34692859999998,219.2257586,6490,6576,#C C closes the tap
219.2257586,220.4297686,6576,6612,#C C wipes the hand
220.4297686,221.6172286,6612,6648,#C C takes a bottle
221.6172286,222.38354859999998,6648,6671,#C C opens a fridge
222.38354859999998,223.8530386,6671,6715,#C C puts a bottle in the fridge
223.8530386,226.8530386,6715,6815,#C C closes the fridge
