start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.8399886,4.8026386,25,143,#C C places a polythene bag with peas on a kitchen worktop
4.8026386,6.6198186,143,198,#C C opens a bag of peas
6.6198186,7.6853086,198,230,#C C picks a basin
7.6853086,8.292618599999999,230,248,#C C places a basin in a sink
8.292618599999999,9.191328599999999,248,275,#C C pours peas in a basin
9.191328599999999,9.9633886,275,298,#C C picks a bag of peas
9.9633886,12.018878599999999,298,360,#C C puts a polythene bag on a kitchen worktop
12.018878599999999,13.1653086,360,394,#C C opens a bag of peas
13.1653086,14.682368599999998,394,440,#C C pours peas in a basin
14.682368599999998,15.0146986,440,450,#C C opens a tap
15.0146986,16.0648786,450,481,#C C rinses her hands
16.0648786,17.135018600000002,481,513,#C C touches soap
17.135018600000002,18.8240386,513,564,#C C scrubs peas with her hands
18.8240386,19.2539486,564,577,#C C scrubs peas with her hands
19.2539486,20.5767586,577,617,#C C picks peas
20.5767586,21.4967086,617,644,#C C picks a pea pod
21.4967086,22.311638600000002,644,669,#C C rinses a pea pod
22.311638600000002,22.6891386,669,680,#C C puts a pea pod in the basin
22.6891386,24.149268600000003,680,724,#C C rinses peas
24.149268600000003,25.968898600000003,724,778,#C C picks a pea pod
25.968898600000003,28.2002086,778,845,#C C puts a peapod in a trash bag
28.2002086,29.270898600000002,845,877,#C C rinses peas
29.270898600000002,30.244818600000002,877,907,#C C rinses peas
30.244818600000002,31.2869886,907,938,#C C rinses peas
31.2869886,32.2354486,938,966,#C C rinses peas
32.2354486,33.2790486,966,998,#C C rinses peas
33.2790486,35.3150886,998,1059,#C C rinses peas
35.3150886,37.0801786,1059,1112,#C C turns off a tap
37.0801786,38.3560886,1112,1150,#C C picks a basin
38.3560886,39.1950286,1150,1175,#C C picks a basin with peas
39.1950286,39.7872986,1175,1193,#C C places a basin with peas on a kitchen worktop
39.7872986,40.3305686,1193,1209,#C C opens a tap
40.3305686,41.1203686,1209,1233,#C C picks a kitchen scrubber
41.1203686,41.9604786,1233,1258,#C C scrubs a basin with a scrubber
41.9604786,42.6063286,1258,1278,#C C places a scrubber in a soap dish
42.6063286,43.4019286,1278,1301,#C C pours water from the basin in a sink
43.4019286,44.8622886,1301,1345,#C C rinses a basin
44.8622886,45.9014486,1345,1376,#C C closes the tap
45.9014486,46.7305486,1376,1401,#C C picks a basin with peas
46.7305486,47.6284986,1401,1428,#C C places a basin in a sink
47.6284986,48.2819586,1428,1448,#C C picks a peapod
48.2819586,48.8757186,1448,1466,#C C places a peapod in a basin
48.8757186,49.2630086,1466,1477,#C C picks a peapod
49.2630086,49.6824386,1477,1490,#C C places a peapod in a basin
49.6824386,50.0694086,1490,1501,#C C picks a peapod
50.0694086,50.3824886,1501,1511,#C C places a peapod in a basin
50.3824886,50.7624386,1511,1522,#C C picks a peapod
50.7624386,51.4634586,1522,1543,#C C places a peapod in a basin
51.4634586,52.7339586,1543,1581,#C C picks peapods
52.7339586,53.1009686,1581,1592,#C C places a peapod in a basin
