start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
3.6599686,4.6822986,109,140,#C C walks around the kitchen
4.6822986,6.3065986,140,189,#C C picks a bowl
6.3065986,7.8560986,189,235,#C C picks a bowl
7.8560986,8.8792286,235,266,#C C walks around the kitchen
8.8792286,10.5148186,266,315,#C C places a bowl on a tray
10.5148186,11.944838599999999,315,358,#C C turns on a cooker
11.944838599999999,12.5456586,358,376,#C C places a bowl on a tray
12.5456586,13.9742486,376,419,#C C picks a bowl
13.9742486,14.420538599999999,419,432,#C C opens a kettle
14.420538599999999,16.1262286,432,483,#C C places a kettle lid on a kitchen worktop
16.1262286,17.2265786,483,516,#C C picks a ladle
17.2265786,19.4302786,516,582,#C C scoops soup using a ladle
19.4302786,21.0136586,582,630,#C C serves soup in a bowl
21.0136586,22.729618600000002,630,681,#C C scoops soup using a ladle
22.729618600000002,23.8954786,681,716,#C C serves soup in a bowl
23.8954786,25.5288086,716,765,#C C scoops soup using a ladle
25.5288086,26.9810686,765,809,#C C serves soup in a bowl
26.9810686,27.9464486,809,838,#C C scoops soup using a ladle
27.9464486,30.5375486,838,915,#C C serves soup in a bowl
30.5375486,31.770628600000002,915,952,#C C places a ladle on a side plate
31.770628600000002,32.3817986,952,971,#C C picks a lid
32.3817986,34.2553186,971,1027,#C C closes a kettle using a lid
34.2553186,35.702828600000004,1027,1070,#C C places a bowl of soup on a tray
35.702828600000004,37.5258486,1070,1125,#C C moves a plate on the tray
37.5258486,39.8608286,1125,1195,#C C picks a bowl
39.8608286,41.5393386,1195,1246,#C C opens a rice cooker
41.5393386,43.387868600000004,1246,1301,#C C opens a kitchen drawer
43.387868600000004,44.4016186,1301,1331,#C C picks a spoon
44.4016186,46.6560786,1331,1399,#C C closes a kitchen drawer
46.6560786,50.9182286,1399,1527,#C C mixes rice
50.9182286,51.969418600000004,1527,1558,#C C scoops rice from a rice cooker
51.969418600000004,53.8648886,1558,1615,#C C serves rice in a bowl
53.8648886,54.5425086,1615,1636,#C C mixes rice
54.5425086,55.5441786,1636,1666,#C C scoops rice from a rice cooker
55.5441786,56.1649486,1666,1684,#C C serves rice in a bowl
56.1649486,58.1243486,1684,1743,#C C mixes rice in a bowl
58.1243486,58.9473986,1743,1768,#C C hits spoon on a rice cooker
58.9473986,59.6760686,1768,1790,#C C closes a rice cooker
59.6760686,62.2983086,1790,1868,#C C moves a rice cooker
62.2983086,64.04213859999999,1868,1921,#C C places a bowl on a tray
64.04213859999999,65.56304859999999,1921,1966,#C C places a spoon in a sink
65.56304859999999,67.0184886,1966,2010,#C C opens a drawer
67.0184886,69.0454486,2010,2071,#C C pulls a drawer
69.0454486,70.4423886,2071,2113,#C C picks chop sticks
70.4423886,74.1662186,2113,2224,#C C closes a drawer
74.1662186,76.1573186,2224,2284,#C C places chop sticks on a tray
76.1573186,77.0193286,2284,2310,#C C places chop sticks on a tray
77.0193286,78.3437386,2310,2350,#C C picks chop sticks
78.3437386,79.0708786,2350,2371,#C C places chop sticks in a sink
79.0708786,82.43710859999999,2371,2472,#C C holds a tray with food on it
82.43710859999999,85.43710859999999,2472,2572,#C C handles a camera
