start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0,7.51926,0,226,#C C looks at the shelve in the kitchen
7.51926,8.84061,226,265,#C C looks around the sitting room
8.84061,11.22483,265,337,#C C looks at the shelves in the kitchen
11.22483,13.2804,337,398,#C C moves towards the sitting room
13.2804,14.47027,398,434,#C C picks a tumbler
14.47027,15.69462,434,471,#C C picks #unsure
15.69462,19.94053,471,598,#C C picks serviettes from the table
19.94053,21.1962,598,636,#C C picks foil paper
21.1962,23.85356,636,716,#C C looks around the sitting room
23.85356,26.23578,716,787,#C C walks towards the kitchen sink
26.23578,26.74207,787,802,#C C drops serviettes in the dustbin
26.74207,27.29312,802,819,#C C looks around the kitchen
27.29312,32.41342,819,972,#C C walks towards the cooking area
32.41342,33.331,972,1000,#C C picks cooking pot
33.331,35.20208,1000,1056,#C C walks towards the kitchen sink
35.20208,53.18007,1056,1595,#C C drains water from the cooking pot
53.18007,59.11771,1595,1774,#C C does #unsure
59.11771,61.84502,1774,1855,#C C shakes pasta in the cooking pot
61.84502,66.64591,1855,1999,#C C drains water from the cooking pot
66.64591,89.13379,1999,2674,#C C puts pasta in a plate
89.13379,92.47014,2674,2774,#C C spreads pasta in the plate with a fork
92.47014,95.10288,2774,2853,#C C drops cooking pot in the sink
95.10288,103.31086,2853,3099,#C C picks plate
103.31086,104.83096,3099,3145,#C C spreads pasta in the plate with a fork
104.83096,107.92743,3145,3238,#C C walks around a kitchen
107.92743,109.45699,3238,3284,#C C stands next to the cooking area
109.45699,114.64906,3284,3439,#C C turns pasta in the plate with a fork
114.64906,120.01,3439,3600,#C C looks around the kitchen sink
120.01,121.01153,3600,3630,#C C drops plate on a kitchen work top
121.01153,123.59482,3630,3708,#C C looks around the kitchen sink
123.59482,124.16816,3708,3725,#C C walks around the kitchen
124.16816,125.24287,3725,3757,#C C picks a bowl of #unsure
125.24287,126.8794,3757,3806,#C C walks around the kitchen
126.8794,127.90652,3806,3837,#C C picks draining spatula
127.90652,144.44044,3837,4333,#C C puts #unsure in a plate
144.44044,146.60085,4333,4398,#C C looks at the plate of pasta
146.60085,149.95996,4398,4499,#C C puts #unsure in a plate of pasta
149.95996,151.40666,4499,4542,#C C drops spatula in a kitcen sink
151.40666,152.70153,4542,4581,#C C walks around a kitchen
152.70153,153.71041,4581,4611,#C C opens a cupboard
153.71041,156.04874,4611,4681,#C C picks a tin
156.04874,158.93488,4681,4768,#C C looks around the kitchen
158.93488,162.0543,4768,4862,#C C walks around a kitchen
162.0543,171.76476,4862,5153,#C C puts #unsure in a plate
171.76476,174.41112,5153,5232,#C C walks around a kitchen
174.41112,179.50689,5232,5385,#C C looks around the kitchen
179.50689,181.36942,5385,5441,#C C opens fridge
181.36942,182.39418,5441,5472,#C C drops #unsure in the fridge
182.39418,183.10337,5472,5493,#C C picks #unsure in the fridge
183.10337,186.81347,5493,5604,#C C turns around the kitchen
186.81347,189.77529,5604,5693,#C C walks around a kitchen
189.77529,190.97331,5693,5729,#C C moves plate on the worktop
190.97331,191.65303,5729,5750,#C C picks a plate of pasta
191.65303,195.88437,5750,5877,#C C walks towards the sitting room
195.88437,197.38045,5877,5921,#C C puts plate on the table
197.38045,198.1726,5921,5945,#C C turns around in the sitting room
198.1726,200.5395,5945,6016,#C C walks towards the kitchen
200.5395,202.22478,6016,6067,#C C turns arounnd in a kitchen
202.22478,203.59304,6067,6108,#C C opens the fridge
203.59304,206.81041,6108,6204,#C C puts tin in a fridge
206.81041,207.02379,6204,6211,#C C closes fridge door
207.02379,208.33019,6211,6250,#C C turns around in a kitchen
208.33019,209.96963,6250,6299,#C C closes the kitchen cabinet
209.96963,212.60228,6299,6378,#C C switches off cooker
212.60228,215.84321,6378,6475,#C C walks towards the sitting room
215.84321,216.40138,6475,6492,#C C turns around a sitting room
216.40138,219.40138,6492,6592,#C C puts bottle of #unsure on the table
