start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
2.711,3.466,81,104,#C C picks up salt
3.466,4.149,104,124,#C C opens the cap
4.149,4.623,124,139,#C C puts the cap down
4.623,5.02,139,151,#C C holds the spoon
5.02,6.739,151,202,#C C fetches some salt
6.739,8.527,202,256,#C C pours the salt into the food
8.527,9.31,256,279,#C C puts the spoon back into the can
9.31,9.778,279,293,#C C picks up the cap
9.778,11.618,293,349,#C C closes the container
11.618,12.303,349,369,#C C puts the can down
12.303,12.811,369,384,#C C picks up the paddle
12.811,20.505,384,615,#C C stirs the food
20.505,21.423,615,643,#C C puts the paddle down
21.423,22.257,643,668,#C C picks up minced meat
22.257,27.26673,668,818,#C C opens the paper bag
27.26673,30.575,818,917,#C C pours the minced meat into the mix
30.575,31.847,917,955,#C C throws the paper bag down
31.847,32.459,955,974,#C C picks up the paddle
32.459,37.481,974,1124,#C C stirs the food
37.481,38.243,1124,1147,#C C puts the paddle down
38.243,38.617,1147,1159,#C C picks up the salt can
38.617,39.013,1159,1170,#C C opens the salt can
39.013,39.727,1170,1192,#C C puts the cap down
39.727,42.565,1192,1277,#C C fetches some salt
42.565,45.843,1277,1375,#C C pours the salt into the water
45.843,46.387,1375,1392,#C C puts the spoon back into the can
46.387,46.988,1392,1410,#C C picks up the can
46.988,47.818,1410,1435,#C C closes the salt can
47.818,48.426,1435,1453,#C C puts the can down
48.426,48.836,1453,1465,#C C picks up the paddle
48.836,65.664,1465,1970,#C C stirs the food
65.664,68.561,1970,2057,#C C puts the paddle down
68.561,68.817,2057,2065,#C C picks up the paddle
68.817,73.65,2065,2210,#C C stirs the food
73.65,74.15666,2210,2225,#C C puts the paddle down
74.15666,75.349,2225,2260,#C C picks up the water container
75.349,78.925,2260,2368,#C C pours some water into the food
78.925,80.28,2368,2408,#C C puts the water container down
80.28,80.531,2408,2416,#C C picks up the paddle
80.531,93.871,2416,2816,#C C stirs the food
93.871,93.871,2816,2816,#C C stops stirring
93.871,96.389,2816,2892,#C C reduces the heat
96.389,148.221,2892,4447,#C C stirs the food
148.221,151.221,4447,4547,#C C puts the paddle down
