start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0210286,1.6618986,0,49,#C C looks at the utensils
1.6618986,2.8118486000000003,49,84,#C C opens the lid
2.8118486000000003,3.6421786000000003,84,109,#C C puts the lid on the side
3.6421786000000003,4.2086186,109,126,#C C reaches for the cooking stick
4.2086186,5.6074886,126,168,#C C picks up the spoon
5.6074886,10.9063886,168,327,#C C stirs up the dough
10.9063886,14.0308686,327,420,#C C scoops the dough
14.0308686,16.495458600000003,420,494,#C C pours the dough in the pan
16.495458600000003,25.939058600000003,494,778,#C C spreads the dough
25.939058600000003,27.2917186,778,818,#C C puts the the spoon in the dough
27.2917186,28.4689286,818,853,#C C picks up the cooking stick
28.4689286,31.587438600000002,853,947,#C C moves back
31.587438600000002,33.3110886,947,999,#C C moves forward
33.3110886,37.3581986,999,1120,#C C turns up the flame
37.3581986,39.9803586,1120,1199,#C C turns around
39.9803586,42.7450186,1199,1282,#C C moves to the stove
42.7450186,48.8630786,1282,1465,#C C stands for a while
48.8630786,83.9535686,1465,2518,#C C cooks the pancake
83.9535686,85.2562586,2518,2557,#C C turns the pancake
85.2562586,86.73971859999999,2557,2602,#C C puts the cooking stick on the side
86.73971859999999,88.2044086,2602,2646,#C C stands for a while
88.2044086,89.31404859999999,2646,2679,#C C touches the head area
89.31404859999999,96.9099586,2679,2907,#C C lowers the hand
96.9099586,97.4417986,2907,2923,#C C touches the face area
97.4417986,107.3880586,2923,3221,#C C lowers the hand
107.3880586,109.2888186,3221,3278,#C C picks up the cooking stick
109.2888186,109.8699286,3278,3295,#C C touches the face area
109.8699286,110.19162859999999,3295,3305,#C C lowers the hand
110.19162859999999,111.69234859999999,3305,3350,#C C touches the head area
111.69234859999999,113.8698586,3350,3415,#C C lowers the hand
113.8698586,114.9828986,3415,3449,#C C shifts the cooking stick in the hands
114.9828986,119.05853859999999,3449,3571,#C C picks the piece of pancake on the cooking stick
119.05853859999999,125.6321186,3571,3768,#C C cooks the pancake
125.6321186,126.4248286,3768,3792,#C C puts the pancake in the pot
126.4248286,127.69597859999999,3792,3830,#C C puts the cooking stick on the side
127.69597859999999,130.3954786,3830,3911,#C C scoops the dough
130.3954786,132.6910186,3911,3980,#C C pours the dough in the pan
132.6910186,134.2068386,3980,4026,#C C scoops the dough
134.2068386,134.99753859999998,4026,4049,#C C pours the dough in the pan
134.99753859999998,142.7167586,4049,4281,#C C spreads the dough
142.7167586,155.9653086,4281,4678,#C C picks up the cooking stick
155.9653086,175.42248859999998,4678,5262,#C C cooks the pancake
175.42248859999998,177.1490486,5262,5314,#C C turns the pancake
177.1490486,179.2406886,5314,5377,#C C puts the cooking stick on the side
179.2406886,185.27305859999998,5377,5558,#C C turns down the flame
185.27305859999998,187.8324486,5558,5634,#C C picks up the cooking stick
187.8324486,189.0518586,5634,5671,#C C touches the face area
189.0518586,193.6294986,5671,5808,#C C lowers the hand
193.6294986,196.1409886,5808,5884,#C C stands for a while
196.1409886,200.6575286,5884,6019,#C C cooks the pancake
200.6575286,202.14741859999998,6019,6064,#C C puts the pancake on the cooking stick
202.14741859999998,202.92329859999998,6064,6087,#C C puts the pancake in the pot
202.92329859999998,204.1277486,6087,6123,#C C puts the cooking stick on the side
204.1277486,207.40234859999998,6123,6221,#C C scoops the dough
207.40234859999998,209.1711886,6221,6275,#C C pours the dough in the pan
209.1711886,215.2884186,6275,6458,#C C spreads the dough
215.2884186,216.2753386,6458,6488,#C C puts the spoon in the dough
216.2753386,217.5448786,6488,6526,#C C picks up the cooking stick
217.5448786,218.5492486,6526,6556,#C C touches the face area
218.5492486,220.64822859999998,6556,6619,#C C lowers the hand
220.64822859999998,225.3305586,6619,6759,#C C stands for a while
225.3305586,227.69470859999998,6759,6830,#C C touches the face area
227.69470859999998,229.4078486,6830,6882,#C C scratches the tummy
229.4078486,232.5278086,6882,6975,#C C picks the piece of pancake from the cooking stick
232.5278086,254.4809186,6975,7634,#C C cooks the pancake
254.4809186,262.5681086,7634,7876,#C C turns the pancake
262.5681086,264.4657986,7876,7933,#C C touches the face area
264.4657986,269.6525786,7933,8089,#C C scratches the tummy
269.6525786,276.51728860000003,8089,8295,#C C stands for a while
276.51728860000003,280.7258686,8295,8421,#C C cooks the pancake
280.7258686,281.60981860000004,8421,8448,#C C puts the pancake in the pot
281.60981860000004,285.0443186,8448,8551,#C C puts the cooking stick on the side
285.0443186,287.8457586,8551,8635,#C C scoops the dough into the pan
287.8457586,289.4499086,8635,8683,#C C Pours wheat flour in a cooking pan with a ladle
289.4499086,296.97943860000004,8683,8909,#C C Flattens wheat flour with a ladle
296.97943860000004,297.88939860000005,8909,8936,#C C Puts a ladle in a cooking pot
297.88939860000005,302.44464860000005,8936,9073,#C C Picks a wooden spatula
302.44464860000005,303.2768686,9073,9098,#C C Stares at the pancake
303.2768686,306.12845860000004,9098,9183,#C C Moves up a hand
306.12845860000004,315.7303886,9183,9471,#C C Stares at the pancake
315.7303886,328.6807086,9471,9860,#C C Moves a wooden spatula under a pancake
328.6807086,330.54684860000003,9860,9916,#C C Switches a wooden spatula to the other hand
330.54684860000003,331.6814986,9916,9950,#C C Moves a wooden spatula under a pancake
331.6814986,339.34549860000004,9950,10180,#C C Switches a wooden spatula to the other hand
339.34549860000004,339.5989586,10180,10187,#C C Puts a wooden spatula on a cooking pan
339.5989586,343.24323860000004,10187,10297,#C C Moves up a hand
343.24323860000004,344.45568860000003,10297,10333,#C C Presses a pancake with a wooden spatula
344.45568860000003,348.0441386,10333,10441,#C C Switches a wooden spatula to the other hand
348.0441386,349.3813586,10441,10481,#C C Moves a wooden spatula under a pancake
349.3813586,350.7149986,10481,10521,#C C Switches a wooden spatula to the other hand
350.7149986,351.0384786,10521,10531,#C C Picks a pancake with a wooden spatula
351.0384786,351.35684860000003,10531,10540,#C C Turns a pancake
351.35684860000003,354.94563860000005,10540,10648,#C C Puts a pancake in a cooking pan
354.94563860000005,369.86125860000004,10648,11095,#C C Stares at the pancake
369.86125860000004,376.17053860000004,11095,11284,#C C Moves up a hand
376.17053860000004,377.4553586,11284,11323,#C C Moves a pancake with a wooden spatula
377.4553586,378.2673586,11323,11347,#C C Holds a wooden spatula with hands
378.2673586,380.0968786,11347,11402,#C C Moves a pancake with a wooden spatula
380.0968786,381.93321860000003,11402,11457,#C C Puts a wooden spatula on a pancake
381.93321860000003,385.42749860000004,11457,11562,#C C Moves a pancake with a wooden spatula
385.42749860000004,386.62226860000004,11562,11598,#C C Switches a wooden spatula to the other hand
386.62226860000004,387.15545860000003,11598,11614,#C C Moves a pancake with a hand
387.15545860000003,388.15423860000004,11614,11644,#C C Switches a wooden spatula to the other hand
388.15423860000004,388.9777386,11644,11669,#C C Puts a pancake in a bowl
388.9777386,390.0068486,11669,11700,#C C Puts a wooden spatula on a bowl
390.0068486,390.49688860000003,11700,11714,#C C Picks a ladle
390.49688860000003,394.28155860000004,11714,11828,#C C Scoops wheat flour
394.28155860000004,395.65394860000004,11828,11869,#C C Puts wheat flour on a cooking pan with a ladle
395.65394860000004,402.35710860000006,11869,12070,#C C Flattens wheat flour on a cooking pan with a ladle
402.35710860000006,403.35585860000003,12070,12100,#C C Puts a ladle in a cooking pot
403.35585860000003,407.0209386,12100,12210,#C C Picks a wooden spatula
407.0209386,419.3647586,12210,12580,#C C Stares at the pancake
419.3647586,432.88385860000005,12580,12986,#C C Moves a wooden spatula around the pancake
432.88385860000005,433.8082486,12986,13014,#C C Switches a wooden spatula to the other hand
433.8082486,434.58032860000003,13014,13037,#C C Moves a wooden spatula around the pancake
434.58032860000003,436.1111986,13037,13083,#C C Switches a wooden spatula to the other hand
436.1111986,438.1796886,13083,13145,#C C Presses a pancake with a wooden spatula
438.1796886,439.27070860000003,13145,13177,#C C Moves a wooden spatula around the pancake
439.27070860000003,440.1258586,13177,13203,#C C Moves a pancake with a wooden spatula
440.1258586,441.7509086,13203,13252,#C C Switches a wooden spatula to the other hand
441.7509086,444.43644860000006,13252,13332,#C C Switches a wooden spatula to the other hand
444.43644860000006,446.20000860000005,13332,13385,#C C Presses a pancake with a wooden spatula
446.20000860000005,448.2695186,13385,13447,#C C Switches a wooden spatula to the other hand
448.2695186,448.85927860000004,13447,13465,#C C Puts a pancake on a wooden spatula with a hand
448.85927860000004,449.56266860000005,13465,13486,#C C Switches a wooden spatula to the other hand
449.56266860000005,450.7297186,13486,13521,#C C Turns a pancake on a cooking pan
450.7297186,452.5292286,13521,13575,#C C Puts a wooden spatula on a bowl
452.5292286,453.53825860000006,13575,13606,#C C Stares at the pancake
453.53825860000006,456.5989086,13606,13697,#C C Move up a hand
456.5989086,462.4945186,13697,13874,#C C Stares at the pancake
462.4945186,466.8323786,13874,14004,#C C Picks a wooden spatula
466.8323786,468.16968860000003,14004,14044,#C C Presses a pancake with a wooden spatula
468.16968860000003,475.0517386,14044,14251,#C C Moves a pancake with a wooden spatula
475.0517386,476.8565886,14251,14305,#C C Holds a spatula with hands
476.8565886,478.3032686,14305,14348,#C C Puts a spatula on a cooking pan
478.3032686,478.8619686,14348,14365,#C C Switches a wooden spatula to the other hand
478.8619686,480.0311386,14365,14400,#C C Wipes a wooden spatula with a hand
480.0311386,481.1994886,14400,14435,#C C Switches a wooden spatula to the other hand
481.1994886,482.1870486,14435,14465,#C C Moves a pancake with a wooden spatula
482.1870486,484.6993986,14465,14540,#C C Switches a wooden spatula to the other hand
484.6993986,487.38843860000003,14540,14621,#C C Counts pancakes in a bowl with a hand
487.38843860000003,488.3074286,14621,14649,#C C Switches a wooden spatula to the other hand
488.3074286,490.5023186,14649,14714,#C C Moves a pancake with a wooden spatula
490.5023186,491.7271686,14714,14751,#C C Presses a pancake with a wooden spatula
491.7271686,492.47530860000006,14751,14774,#C C Picks a pancake with a wooden spatula
492.47530860000006,494.0267486,14774,14820,#C C Puts a pancake in a bowl
494.0267486,498.4479586,14820,14953,#C C Scoops wheat flour with a ladle
498.4479586,500.4324586,14953,15012,#C C Puts a wheat flour in a cooking pan with a ladle
500.4324586,501.70453860000003,15012,15051,#C C Scoops wheat flour with a ladle
501.70453860000003,502.4697886,15051,15073,#C C Puts a wheat flour in a cooking pan with a ladle
502.4697886,507.6841386,15073,15230,#C C Flattens wheat flour on a cooking pan with a ladle
507.6841386,508.59215860000006,15230,15257,#C C Puts a ladle in a cooking pot
508.59215860000006,509.73855860000003,15257,15292,#C C Picks a wooden spatula
509.73855860000003,510.77623860000006,15292,15323,#C C Switches a wooden spatula to the other hand
510.77623860000006,511.9795186,15323,15359,#C C Scratches his arm
511.9795186,513.3417286,15359,15400,#C C Switches a wooden spatula to the other hand
513.3417286,514.1247186,15400,15423,#C C Switches a wooden spatula to the other hand
514.1247186,516.1100386,15423,15483,#C C Removes a wheat flour from a wooden spatula with a hand
516.1100386,518.3408686,15483,15550,#C C Switches a wooden spatula to the other hand
518.3408686,523.1594786,15550,15694,#C C Stares at the pancakes
523.1594786,525.8904586,15694,15776,#C C Moves a hand
525.8904586,535.3411486,15776,16060,#C C Stares at the pancakes
535.3411486,549.1372686000001,16060,16473,#C C Moves a pancake with a wooden spatula
549.1372686000001,551.8844786000001,16473,16556,#C C Pats a pancake with a wooden spatula
551.8844786000001,553.5029686,16556,16604,#C C Moves a pancake with a wooden spatula
553.5029686,557.2618586,16604,16717,#C C Switches a wooden spatula to the other hand
557.2618586,564.4733186,16717,16934,#C C holds the pancake with the wooden spoon
564.4733186,571.9717586,16934,17159,#C C holds the spoon
571.9717586,573.0797786,17159,17192,#C C walks towards the sink
573.0797786,577.9415286,17192,17338,#C C washes the spoon
577.9415286,585.1047486,17338,17553,#C C holds the tap
585.1047486,591.1611586,17553,17734,#C C walks to the kitchen
591.1611586,596.9002386000001,17734,17906,#C C holds the lid
596.9002386000001,598.5602986,17906,17956,#C C holds the sufuria
598.5602986,602.1406086000001,17956,18064,#C C opens the fridge
602.1406086000001,604.8685286,18064,18145,#C C puts the sufuria in the fridge
604.8685286,609.5743686000001,18145,18287,#C C closes the fridge
609.5743686000001,619.6819086,18287,18590,#C C holds the wooden spoon
619.6819086,623.4876952666667,18590,18704,#C C holds the lid with the pancake on it
623.4876952666667,626.4876952666667,18704,18804,#C C looks after the pancake
