start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.6004885999999999,4.5227286,17,135,#C C Picks up a box from a kitchen counter
4.5227286,4.6951586,135,140,#C C Removes a foil from a box
4.6951586,7.3622486,140,220,#C C Puts down a box on a kitchen table
7.3622486,7.9677486,220,238,#C C Turns on a weighing machine
7.9677486,8.887358599999999,238,266,#C C Unfolds a foil with a hand
8.887358599999999,9.2135386,266,276,#C C Puts down a foil on a kitchen table
9.2135386,11.4295586,276,342,#C C Walks around a kitchen
11.4295586,12.8614486,342,385,#C C Opens up a shelf with a hand
12.8614486,13.6675986,385,409,#C C Closes a shelf with a hand
13.6675986,14.4987286,409,434,#C C Moves a tin on a kitchen counter
14.4987286,16.0306186,434,480,#C C Opens up a shelf with a hand
16.0306186,17.1252786,480,513,#C C Moves a lid microwave
17.1252786,18.7586486,513,562,#C C Picks up a plate from a shelf
18.7586486,20.3864386,562,611,#C C Walks around a kitchen
20.3864386,21.789388600000002,611,653,#C C Puts down a plate on a weighing machine
21.789388600000002,24.6773586,653,740,#C C Picks up a foil from a kitchen counter
24.6773586,28.2164186,740,846,#C C Removes butter from a foil with a hand
28.2164186,31.1732586,846,935,#C C Puts down butter on a plate on a weighing machine
31.1732586,33.1804486,935,995,#C C Picks up a spoon from a glass
33.1804486,34.7646286,995,1042,#C C Scoops butter from a foil with a spoon
34.7646286,37.9485586,1042,1138,#C C Puts down butter on a plate on a weighing machine with a spoon
37.9485586,40.0429486,1138,1201,#C C Puts down a foil and a spoon on a kitchen counter
40.0429486,40.5981386,1201,1217,#C C Picks up a plate from a weighing machine
40.5981386,44.2733786,1217,1328,#C C Walks around a kitchen
44.2733786,45.3406886,1328,1360,#C C Moves a tin on a microwave
45.3406886,45.5997286,1360,1367,#C C Opens up a microwave with a hand
45.5997286,46.6894186,1367,1400,#C C Puts butter on a plate in a microwave
46.6894186,47.4309286,1400,1422,#C C Closes a microwave with a hand
47.4309286,50.986608600000004,1422,1529,#C C Turns on a microwave with a hand
50.986608600000004,52.3742186,1529,1571,#C C Walks around a kitchen
52.3742186,53.0638286,1571,1591,#C C Picks up a spoon from a kitchen counter
53.0638286,54.5329786,1591,1635,#C C Picks up a box from a kitchen counter
54.5329786,55.0741386,1635,1652,#C C Puts down a box on a kitchen counter
55.0741386,56.5922486,1652,1697,#C C Picks up a foil from a kitchen counter
56.5922486,58.5697986,1697,1756,#C C Puts a foil in a dust bin
58.5697986,62.7846186,1756,1883,#C C Walks around a kitchen
62.7846186,64.5707886,1883,1936,#C C Picks up a bowl from a table
64.5707886,66.0423386,1936,1981,#C C Walks around a kitchen
66.0423386,66.87009859999999,1981,2005,#C C Puts down a bowl on a weighing machine
66.87009859999999,68.68191859999999,2005,2060,#C C Walks around a kitchen
68.68191859999999,73.1609986,2060,2194,#C C Picks up a sieving bowl from a shelf
73.1609986,73.98605859999999,2194,2219,#C C Puts down a sieving bowl on a bowl in a weighing machine
73.98605859999999,80.1957386,2219,2405,#C C Walks around a kitchen
80.1957386,81.7059286,2405,2451,#C C Picks up a shaker from a shelf
81.7059286,82.7578186,2451,2482,#C C Puts down a shaker on a kitchen table
82.7578186,87.66794859999999,2482,2629,#C C Walks around a kitchen
87.66794859999999,91.0535486,2629,2731,#C C Picks up a tin from a shelf
91.0535486,92.18881859999999,2731,2765,#C C Holds a tin with a hand
92.18881859999999,93.3931686,2765,2801,#C C Picks up a tin from a shelf
93.3931686,94.98506859999999,2801,2849,#C C Puts down a tin on a kitchen counter
94.98506859999999,95.7420686,2849,2872,#C C Opens up a lid from a tin
