start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0210286,1.1253286,0,33,#C C Holds the boiled maize
1.1253286,2.6300486000000003,33,78,#C C Opens the microwave
2.6300486000000003,4.6899886,78,140,#C C Puts the boiled maize in the microwave
4.6899886,6.911478600000001,140,207,#C C Closes the microwave
6.911478600000001,8.1224086,207,243,#C C Switches the microwave on
8.1224086,10.5248786,243,315,#C C Moves toward the counter top
10.5248786,11.4224386,315,342,#C C Holds the knife
11.4224386,12.3261586,342,369,#C C Picks the cutting board
12.3261586,13.230408599999999,369,396,#C C Opens the water tap
13.230408599999999,14.243818599999999,396,427,#C C Washes the cutting board
14.243818599999999,16.2309886,427,486,#C C Washes the knife
16.2309886,18.2429586,486,547,#C C Closes the water tap
18.2429586,18.8851286,547,566,#C C Puts the cutting board on the counter top
18.8851286,20.495468600000002,566,614,#C C Puts the knife on the cutting board
20.495468600000002,21.8016186,614,653,#C C Moves toward the sink
21.8016186,22.5415186,653,676,#C C Holds the colander
22.5415186,23.9240386,676,717,#C C Moves the colander
23.9240386,24.580318600000002,717,737,#C C Holds the egg
24.580318600000002,25.6628686,737,769,#C C Opens the water tap
25.6628686,28.2948786,769,848,#C C Washes the egg
28.2948786,30.5918186,848,917,#C C Removes the eggshell
30.5918186,32.0306386,917,960,#C C Puts the eggshell on the plate
32.0306386,34.9328086,960,1047,#C C Washes the egg
34.9328086,35.5851086,1047,1067,#C C Removes the eggshell
35.5851086,36.7955986,1067,1103,#C C Puts the eggshell on the plate
36.7955986,37.552488600000004,1103,1126,#C C Washes the egg
37.552488600000004,39.3033486,1126,1178,#C C Shakes the egg
39.3033486,41.5469586,1178,1246,#C C Puts the egg on the cutting board
41.5469586,43.6206886,1246,1308,#C C Washes the egg
43.6206886,46.6632586,1308,1399,#C C Removes the eggshell
46.6632586,47.2749986,1399,1418,#C C Puts the eggshell on the plate
47.2749986,48.2684086,1418,1447,#C C Washes the egg
48.2684086,53.177468600000005,1447,1595,#C C Removes the eggshell
53.177468600000005,54.191368600000004,1595,1625,#C C Puts the eggshell on the plate
54.191368600000004,55.492048600000004,1625,1664,#C C Washes the egg
55.492048600000004,57.6986186,1664,1730,#C C Closes the water tap
57.6986186,60.2225086,1730,1806,#C C Puts the egg on the cutting board
60.2225086,61.1241486,1806,1833,#C C Picks the eggshell
61.1241486,62.025358600000004,1833,1860,#C C Holds the eggshell
62.025358600000004,64.35088859999999,1860,1930,#C C Puts the egg shell in the plastic bag
64.35088859999999,66.5655386,1930,1996,#C C Picks the eggshell
66.5655386,69.27100859999999,1996,2077,#C C Puts the egg shell in the plastic bag
69.27100859999999,70.6319786,2077,2118,#C C Picks the eggshell
70.6319786,71.88934859999999,2118,2156,#C C Puts the egg shell in the plastic bag
71.88934859999999,72.89032859999999,2156,2186,#C C Opens the water tap
72.89032859999999,74.9874086,2186,2249,#C C Washes the colander
74.9874086,76.3377986,2249,2290,#C C Puts the colander on the sink
76.3377986,77.6905486,2290,2330,#C C Closes the water tap
77.6905486,79.5873386,2330,2387,#C C Shakes the hands
79.5873386,82.4900986,2387,2474,#C C Wipes the hands with the hand towel
82.4900986,83.4164186,2474,2502,#C C Picks the colander
83.4164186,83.75503859999999,2502,2512,#C C Opens the water tap
83.75503859999999,85.02128859999999,2512,2550,#C C Washes the colander
85.02128859999999,86.0125686,2550,2580,#C C Closes the water tap
86.0125686,87.2897086,2580,2618,#C C Shakes the colander
87.2897086,89.4777486,2618,2684,#C C Puts the colander in the sink
89.4777486,90.59694859999999,2684,2717,#C C Walks toward the microwave
90.59694859999999,91.2183786,2717,2736,#C C Opens the microwave
91.2183786,91.9888886,2736,2759,#C C Closes the microwave
91.9888886,101.4550086,2759,3043,#C C Presses the microwave buttons
101.4550086,103.4400386,3043,3103,#C C Moves toward the counter board
103.4400386,105.1311286,3103,3153,#C C Holds the knife
105.1311286,107.6656586,3153,3229,#C C Picks the chopsticks
107.6656586,108.20609859999999,3229,3246,#C C Picks the piece of bacon
108.20609859999999,111.84470859999999,3246,3355,#C C Puts the piece of bacon on the cutting board
111.84470859999999,112.86395859999999,3355,3385,#C C Picks the piece of bacon
112.86395859999999,113.73711859999999,3385,3411,#C C Puts the piece of bacon on the cutting board
113.73711859999999,114.4315086,3411,3432,#C C Holds the cooking pan
114.4315086,116.26394859999999,3432,3487,#C C Puts the pieces of bacons on the cutting board
116.26394859999999,118.79692859999999,3487,3563,#C C Puts the cooking pan on the cooker
118.79692859999999,119.80123859999999,3563,3593,#C C Holds the knife
119.80123859999999,123.2774886,3593,3698,#C C Puts the pieces of bacons together
123.2774886,134.5117386,3698,4035,#C C Cuts the pieces of bacons into small pieces
134.5117386,135.9117386,4035,4077,#C C Moves toward the sink
135.9117386,136.3188686,4077,4089,#C C Opens the water tap
136.3188686,136.6305286,4089,4098,#C C Washes the hand
136.6305286,137.7271486,4098,4131,#C C Closes the water tap
137.7271486,139.9322086,4131,4197,#C C Touches the potatoes
139.9322086,141.0861386,4197,4232,#C C Moves toward the microwave
141.0861386,143.0334586,4232,4290,#C C Cuts the hand serviette
143.0334586,143.9824686,4290,4319,#C C Wipes the hands
143.9824686,145.57668859999998,4319,4367,#C C Picks the colander
145.57668859999998,148.8580786,4367,4465,#C C Wipes the colander
148.8580786,149.2344286,4465,4476,#C C Puts the colander on the sink
149.2344286,152.31871859999998,4476,4569,#C C Puts the hand serviette in the plastic bag
152.31871859999998,153.2783686,4569,4598,#C C Holds the potatoes
153.2783686,154.4007786,4598,4631,#C C Picks the potato
154.4007786,156.3901886,4631,4691,#C C Puts the potato in the colander
156.3901886,157.0707086,4691,4711,#C C Holds the plate of potatoes
157.0707086,159.8644586,4711,4795,#C C Puts the potatoes in the colander
159.8644586,163.3652286,4795,4900,#C C Puts the plate on the counter top
163.3652286,163.68242859999998,4900,4910,#C C Opens the water tap
