start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0210286,1.6480186,0,49,#C C washes #unsure
1.6480186,2.3615286,49,70,#C C throws a washing scrubber on the sin
2.3615286,3.2945386,70,98,#C C closes the tap
3.2945386,4.8789686,98,146,#C C wipes the hands with a kitchen towel
4.8789686,11.3229486,146,339,#C C walks in the kitchen
11.3229486,17.3468386,339,520,#C C picks a towel
17.3468386,18.1786786,520,545,#C C holds the lid
18.1786786,19.3815086,545,581,#C C opens the lid
19.3815086,22.3990286,581,671,#C C closes the lid
22.3990286,25.2401986,671,757,#C C puts the towel down
25.2401986,26.353378600000003,757,790,#C C opens the lid
26.353378600000003,27.714968600000002,790,831,#C C closes the lid
27.714968600000002,29.523628600000002,831,885,#C C opens another lid
29.523628600000002,30.4647186,885,913,#C C closes the lid
30.4647186,31.3242786,913,939,#C C opens the lid
31.3242786,32.2490286,939,967,#C C closes the lid
32.2490286,32.8223986,967,984,#C C opens the lid
32.8223986,35.9096986,984,1077,#C C closes the lid
35.9096986,36.3694486,1077,1090,#C C opens the lid
36.3694486,40.7685886,1090,1222,#C C closes the lid
40.7685886,42.108698600000004,1222,1263,#C C picks the #unsure in a meshed dish
42.108698600000004,43.6143786,1263,1308,#C C pours the water in the sink
43.6143786,44.8748686,1308,1346,#C C puts the #unsure on the the dish
44.8748686,46.7653786,1346,1402,#C C picks a towel
46.7653786,47.0367186,1402,1410,#C C picks a glass of #unsure
47.0367186,48.0376286,1410,1440,#C C wipes the sink with the towel
48.0376286,52.7232386,1440,1581,#C C returns the glass on the sink
52.7232386,53.348828600000004,1581,1600,#C C cleans the sink with the towel
53.348828600000004,54.0084386,1600,1620,#C C picks a bottle of #unsure
54.0084386,54.4370786,1620,1632,#C C cleans the sink
54.4370786,56.7019086,1632,1700,#C C returns the bottle
56.7019086,57.9164386,1700,1737,#C C lifts #unsure
57.9164386,60.9019786,1737,1826,#C C puts down the #unsure
60.9019786,64.6368986,1826,1938,#C C lifts the cooking oil
64.6368986,67.9779786,1938,2039,#C C touches the utensils
67.9779786,69.1867886,2039,2075,#C C picks #unsure from the sink
69.1867886,72.41342859999999,2075,2172,#C C walks around the kitchen
72.41342859999999,73.1356886,2172,2193,#C C opens the fridge
73.1356886,74.47835859999999,2193,2234,#C C puts the #unsure in the fridge
74.47835859999999,75.91714859999999,2234,2277,#C C opens the big door of the fridge
75.91714859999999,78.04680859999999,2277,2341,#C C puts #unsure inside
78.04680859999999,78.11189859999999,2341,2343,#C C walks away
78.11189859999999,79.64972859999999,2343,2389,#C C closes the door
79.64972859999999,81.6689686,2389,2449,#C C turns back to the fridge
81.6689686,82.89238859999999,2449,2486,#C C opens the fridge
82.89238859999999,86.1077686,2486,2583,#C C puts #unsure inside
86.1077686,86.4814186,2583,2594,#C C closes the fridge
86.4814186,88.7467686,2594,2662,#C C walks away to the kitchen
88.7467686,110.42305859999999,2662,3312,#C C puts the #unsure on the sink
110.42305859999999,123.19194859999999,3312,3695,#C C stretches the hand to the gas cooker
123.19194859999999,130.3813786,3695,3911,#C C holds on the kitchen
130.3813786,133.7173786,3911,4011,#C C touches the camera on the head
133.7173786,137.34145859999998,4011,4120,#C C drops the hands
137.34145859999998,140.34145859999998,4120,4220,#C C touches the camera
