start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0,0.8169,0,25,#C C touches the the camera
0.8169,2.88737,25,87,#C C drops the the peeler
2.88737,3.27211,87,98,#C C picks the knife
3.27211,3.70249,98,111,#C C opens the knife
3.70249,4.86954,111,146,#C C drops the knife lid
4.86954,6.51674,146,196,#C C picks a carrot
6.51674,8.22901,196,247,#C C cuts the carrot
8.22901,8.54016,247,256,#C C turns the carrot
8.54016,10.0536,256,302,#C C cuts the carrot
10.0536,10.32547,302,310,#C C drops the carrot on the bowl
10.32547,11.13252,310,334,#C C picks the carrot
11.13252,14.89462,334,447,#C C cuts the carrot
14.89462,15.50921,447,465,#C C drops the carrot on the bowl
15.50921,17.19712,465,516,#C C cuts the carrot
17.19712,17.59636,516,528,#C C drops the carrot on the bowl
17.59636,18.60352,528,558,#C C picks the carrot
18.60352,21.07455,558,632,#C C cuts the carrot
21.07455,21.92201,632,658,#C C turns the carrot
21.92201,23.19115,658,696,#C C cuts the carrot
23.19115,23.85381,696,716,#C C place the knife on the bowl
23.85381,24.79747,716,744,#C C picks the peeler
24.79747,26.43595,744,793,#C C pushes #Unsure on the bowl
26.43595,34.04248,793,1021,#C C peels the carrot
34.04248,34.794,1021,1044,#C C looks at the carrot
34.794,36.15369,1044,1085,#C C peels the carrot
36.15369,36.40063,1085,1092,#C C turns the carrot
36.40063,46.14422,1092,1384,#C C peels the carrot
46.14422,46.77611,1384,1403,#C C looks at the carrot
46.77611,47.07909,1403,1412,#C C drops the carrot on the bowl
47.07909,47.98205,1412,1439,#C C picks a carrot
47.98205,54.78104,1439,1643,#C C peels the carrot
54.78104,59.20826,1643,1776,#C C removes the carrot peels from the peeler
59.20826,70.67141,1776,2120,#C C peels the carrot
70.67141,71.20663,2120,2136,#C C drops the carrot on the bowl
71.20663,71.92757,2136,2158,#C C picks a carrot
71.92757,87.50353,2158,2625,#C C peels the carrot
87.50353,87.71905,2625,2632,#C C drops the peeler on the bowl
87.71905,87.97692,2632,2639,#C C picks the carrot
87.97692,90.04787,2639,2701,#C C walks around
90.04787,90.71134,2701,2721,#C C opens the tap
90.71134,98.06184,2721,2942,#C C washes the carrot
98.06184,98.67086,2942,2960,#C C closes the tap
98.67086,100.59853,2960,3018,#C C shakes both hands
100.59853,101.91707,3018,3058,#C C walks around
101.91707,102.53941,3058,3076,#C C places the carrot on the chopping board
102.53941,103.4356,3076,3103,#C C picks a knife
103.4356,104.45775,3103,3134,#C C walks around
104.45775,104.73024,3134,3142,#C C opens the tap
104.73024,106.59871,3142,3198,#C C washes the knife
106.59871,109.08621,3198,3273,#C C walks around
109.08621,111.92673,3273,3358,#C C touches the carrots
111.92673,113.09342,3358,3393,#C C cuts the carrot
113.09342,114.10959,3393,3423,#C C pushes the carrot on the chopping board
114.10959,117.20619,3423,3516,#C C cuts the carrot
117.20619,117.54441,3516,3526,#C C picks a carrot
117.54441,120.38555,3526,3612,#C C cuts the carrot
120.38555,121.11304,3612,3633,#C C picks a carrot
121.11304,131.5432,3633,3946,#C C chops the carrot
131.5432,132.7186,3946,3982,#C C holds the carrot
132.7186,149.10173,3982,4473,#C C chops the carrot
149.10173,151.69412,4473,4551,#C C holds the carrot
151.69412,153.81282,4551,4614,#C C arranges the carrot
153.81282,168.17224,4614,5045,#C C chops the carrot
168.17224,169.13905,5045,5074,#C C removes carrots from the knife
169.13905,170.62678,5074,5119,#C C picks the carrots from the chopping board
170.62678,171.08292,5119,5132,#C C lifts the left hand
171.08292,172.65822,5132,5180,#C C pours the carrot on the pot
172.65822,174.514,5180,5235,#C C picks the carrots from the chopping board
174.514,174.64719,5235,5239,#C C lifts the left hand
174.64719,176.62595,5239,5299,#C C pours the carrot on the pot
176.62595,178.14512,5299,5344,#C C picks the carrots from the chopping board
178.14512,178.81395,5344,5364,#C C lifts the left hand
178.81395,179.74207,5364,5392,#C C pours the carrot on the pot
179.74207,181.11775,5392,5434,#C C picks the carrots from the chopping board
181.11775,182.21714,5434,5467,#C C pours the carrot on the pot
182.21714,183.19278,5467,5496,#C C picks the carrots from the chopping board
183.19278,184.33562,5496,5530,#C C pours the carrot on the pot
184.33562,184.84574,5530,5545,#C C picks a piece of carrot
184.84574,185.85315,5545,5576,#C C chops the carrot
185.85315,186.72428,5576,5602,#C C removes carrot from the knife
186.72428,187.39491,5602,5622,#C C drops the carrot on the pot
187.39491,187.86598,5622,5636,#C C picks a piece of carrot
187.86598,197.18572,5636,5916,#C C chops the carrot
197.18572,197.80063,5916,5934,#C C looks at the carrot
197.80063,226.51947,5934,6796,#C C chops the carrot
226.51947,227.24737,6796,6817,#C C removes carrot from the knife
227.24737,228.59803,6817,6858,#C C picks the carrot from the chopping board
228.59803,228.99654,6858,6870,#C C lifts the left hand
228.99654,230.44755,6870,6913,#C C pours the carrot on the pot
230.44755,231.0145,6913,6930,#C C pulls back the left hand
231.0145,232.26712,6930,6968,#C C picks the carrot from the chopping board
232.26712,232.72136,6968,6982,#C C lifts the left hand
232.72136,233.5588,6982,7007,#C C pours the carrot on the pot
233.5588,234.44574,7007,7033,#C C picks the carrot from the chopping board
234.44574,235.26134,7033,7058,#C C pours the carrot on the pot
235.26134,236.1167,7058,7084,#C C picks the carrot from the chopping board
236.1167,236.35953,7084,7091,#C C lifts the left hand
236.35953,236.92739,7091,7108,#C C pours the carrot on the pot
236.92739,237.60645,7108,7128,#C C pulls back the left hand
237.60645,237.90927,7128,7137,#C C pulls a piece of carrot
237.90927,254.17094,7137,7625,#C C chops carrot
254.17094,255.0344,7625,7651,#C C picks the carrot from the chopping board
255.0344,255.48967,7651,7665,#C C lifts the left hand
255.48967,256.59191,7665,7698,#C C pours the carrot on the pot
256.59191,258.88328,7698,7766,#C C picks the carrot from the chopping board
258.88328,259.27409,7766,7778,#C C lifts the left hand
259.27409,260.00107,7778,7800,#C C pours the carrot on the pot
260.00107,260.55305,7800,7817,#C C picks a piece of carrot
260.55305,276.88861,7817,8307,#C C chops carrot
276.88861,277.56069,8307,8327,#C C picks the carrot from the chopping board
277.56069,277.97812,8327,8339,#C C lifts the left hand
277.97812,279.16156,8339,8375,#C C pours the carrot on the pot
279.16156,280.056,8375,8402,#C C removes carrot from the knife
280.056,280.78393,8402,8424,#C C pours the carrot on the pot
280.78393,283.99188,8424,8520,#C C picks the carrot from the chopping board
283.99188,284.90379,8520,8547,#C C pours the carrot on the pot
284.90379,285.98862,8547,8580,#C C picks the carrot from the chopping board
285.98862,286.22865,8580,8587,#C C pours the carrot on pot
286.22865,286.7087,8587,8601,#C C pulls back the left hand
286.7087,288.07653,8601,8642,#C C picks the carrot
288.07653,288.32092,8642,8650,#C C lifts the left hand
288.32092,288.78316,8650,8663,#C C pours the carrot on pot
288.78316,289.07788,8663,8672,#C C pulls back the left hand
289.07788,289.43617,8672,8683,#C C picks the carrot
289.43617,290.71504,8683,8721,#C C lifts the left hand
290.71504,291.40393,8721,8742,#C C pours the carrot on pot
291.40393,292.16493,8742,8765,#C C picks the carrot
292.16493,292.53298,8765,8776,#C C lifts the left hand
292.53298,292.90874,8776,8787,#C C pours the carrot on pot
292.90874,293.58586,8787,8808,#C C pulls back the left hand
293.58586,294.09067,8808,8823,#C C picks a carrot
294.09067,294.36162,8823,8831,#C C moves the right hand
294.36162,308.46475,8831,9254,#C C chops carrots
308.46475,309.54509,9254,9286,#C C holds the carrot
309.54509,315.63652,9286,9469,#C C chops carrots
315.63652,315.98686,9469,9480,#C C picks the chopped carrot
315.98686,317.24956,9480,9517,#C C throw the carrot on a bowl
317.24956,318.11192,9517,9543,#C C picks the chopped carrot
