start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0210286,4.2430786000000005,0,127,#C C stirs rice with the porcelain spoon
4.2430786000000005,4.6165786,127,138,#C C picks a bowl on the tray with her left hand
4.6165786,5.2290486000000005,138,156,#C C holds the bowl with her right hand
5.2290486000000005,13.020998599999999,156,390,#C C serves the rice on the bowl in her right hand
13.020998599999999,15.336268599999999,390,459,#C C hits the porcelain spoon on the cooking pot
15.336268599999999,16.8621786,459,505,#C C places the bowl with rice on the tray
16.8621786,19.066028600000003,505,571,#C C picks a kettle on the cooktop
19.066028600000003,19.086028600000002,571,572,#C C places the kettle on top of the cooking pot
19.086028600000002,21.3451586,572,640,#C C turns the kettle
21.3451586,22.198638600000002,640,665,#C C lifts the cooking pot lid off the cooking pot
22.198638600000002,24.4800286,665,734,#C C places the cooking pot lid on the cooktop
24.4800286,25.593618600000003,734,767,#C C presses the cooking gas button
25.593618600000003,27.4108786,767,822,#C C removes the rice on the porcelain spoon
27.4108786,28.3419686,822,850,#C C places the porcelain spoon on the kitchen top
28.3419686,30.410058600000003,850,912,#C C picks the chopsticks on the tray with her left hand
30.410058600000003,32.256868600000004,912,967,#C C picks a bowl on the tray with her right hand
32.256868600000004,34.3561786,967,1030,#C C picks the potato piece with the chopsticks
34.3561786,35.2116986,1030,1056,#C C places the potato piece in the bowl
35.2116986,37.3024486,1056,1118,#C C picks the potato piece with the chopsticks
37.3024486,39.7617386,1118,1192,#C C places the potato piece in the bowl
39.7617386,41.1991886,1192,1235,#C C picks the potato piece with the chopsticks
41.1991886,44.0059086,1235,1320,#C C places the potato piece in the bowl
44.0059086,45.4442686,1320,1363,#C C picks #Unsure in the cooking pot
45.4442686,46.2651486,1363,1387,#C C drops #unsure in the cooking pot
46.2651486,47.7019486,1387,1430,#C C presses the cooking gas button
47.7019486,49.5746786,1430,1487,#C C picks #Unsure in the cooking pot
49.5746786,52.7244686,1487,1581,#C C places #Unsure in the bowl
52.7244686,54.8282386,1581,1644,#C C places the bowl with potato piece and #Unsure on the tray
54.8282386,57.1924786,1644,1715,#C C moves the cooking pan handle
57.1924786,58.6262786,1715,1758,#C C places the cooking pan handle on top of the cooking pot
58.6262786,59.8916586,1758,1796,#C C moves the cooking pot with rice
59.8916586,60.8949586,1796,1826,#C C flips the cooking gas knob
60.8949586,61.8085286,1826,1854,#C C lifts the cooking pot with soup and #Unsure
61.8085286,62.526588600000004,1854,1875,#C C places the cooking pot with soup and #Unsure on the gas cooker
62.526588600000004,63.4873086,1875,1904,#C C walks to the tray on the kitchen top
63.4873086,64.5985286,1904,1937,#C C picks a brown bowl
64.5985286,66.1593286,1937,1984,#C C picks a yellow porcelain soup ladle
66.1593286,66.6447786,1984,1999,#C C puts the yellow porcelain soup ladle in the cooking pot with soup and #Unsure on the gas cooker
66.6447786,71.8519786,1999,2155,#C C shakes the yellow porcelain soup ladle
71.8519786,72.9072786,2155,2187,#C C scopes #Unsure with the yellow porcelain soup ladle
72.9072786,77.21541859999999,2187,2316,#C C puts the #Unsure in the bowl
77.21541859999999,80.55995859999999,2316,2416,#C C scopes #Unsure with the yellow porcelain soup ladle
80.55995859999999,85.0667886,2416,2551,#C C puts the #Unsure in the bowl
85.0667886,86.3223386,2551,2589,#C C places the yellow porcelain soup ladle on the cooking pot on the cook top
86.3223386,86.7901986,2589,2603,#C C dips the chopsticks in the bowl with #Unsure
86.7901986,96.23833859999999,2603,2887,#C C arranges the #Unsure on the bowl
96.23833859999999,96.5869086,2887,2897,#C C picks a yellow porcelain soup ladle
96.5869086,97.6807386,2897,2930,#C C places the brown bowl on the cooktop
97.6807386,98.3641186,2930,2950,#C C lifts the cooking pot with her right hand
98.3641186,102.6921586,2950,3080,#C C stirs #Unsure in the cooking pot
102.6921586,105.0930286,3080,3152,#C C scopes #Unsure in the cooking pot
105.0930286,105.90894859999999,3152,3177,#C C picks the brown bowl with #Unsure
105.90894859999999,110.0915486,3177,3302,#C C puts the #Unsure in the bowl
110.0915486,111.0519186,3302,3331,#C C places the brown bowl on the cooktop
111.0519186,111.0422686,3331,3331,#C C scopes #Unsure in the cooking pot
111.0422686,113.8662286,3331,3415,#C C holds the cooking pot handle
113.8662286,114.42086859999999,3415,3432,#C C picks the brown bowl with #Unsure
114.42086859999999,116.6014086,3432,3497,#C C puts the #Unsure in the bowl
116.6014086,118.3607186,3497,3550,#C C places the yellow porcelain soup ladle on the cooking pot on the cook top
118.3607186,118.8130286,3550,3564,#C C dips the chopsticks in the bowl with #Unsure
118.8130286,132.9250286,3564,3987,#C C arranges the #Unsure on the bowl
132.9250286,136.9718886,3987,4109,#C C places the bowl with #Unsure on the tray
136.9718886,138.9566786,4109,4168,#C C places the chopsticks on the tray
138.9566786,140.2545586,4168,4207,#C C picks the cooking pan
140.2545586,141.0313486,4207,4230,#C C moves the pan to the sink
141.0313486,143.1782686,4230,4295,#C C opens the tap
143.1782686,145.2140086,4295,4356,#C C places the cooking pan on the gas cooker
