start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.78197,5.14933,23,154,#C C holds foil
5.14933,11.01389,154,330,#C C is unrolling the foil paper
11.01389,16.23596,330,487,#C C cuts the foil paper
16.23596,21.28714,487,639,#C C puts the foil paper on the table
21.28714,24.49394,639,735,#C C adjust the foil paper
24.49394,28.7433,735,862,#C C takes fish fillet
28.7433,31.10246,862,933,#C C moves around
31.10246,35.7514,933,1073,#C C opens the fish fillet
35.7514,40.68652,1073,1221,#C C puts fish fillet on the foil paper
40.68652,43.55068,1221,1307,#C C puts the small particles of fish off the hand
43.55068,49.41403,1307,1482,#C C throws the garbage to the dustbin
49.41403,50.86421,1482,1526,#C C moves around
50.86421,53.63856,1526,1609,#C C opens the fridge
53.63856,56.28465,1609,1689,#C C takes a paste
56.28465,58.58756,1689,1758,#C C moves around
58.58756,62.20941,1758,1866,#C C opens the paste
62.20941,72.5287,1866,2176,#C C pours paste into fish fillet
72.5287,78.6578,2176,2360,#C C the paste
78.6578,80.17733,2360,2405,#C C opens the fridge
80.17733,82.17653,2405,2465,#C C put the paste in the fridge
82.17653,84.28916,2465,2529,#C C closes the fridge
84.28916,84.96817,2529,2549,#C C moves around
84.96817,86.89635,2549,2607,#C C take the fish fillet
86.89635,88.93696,2607,2668,#C C puts the fillet in the oven
88.93696,90.92136,2668,2728,#C C closes the oven
90.92136,92.30053,2728,2769,#C C moves around
92.30053,100.88404,2769,3027,#C C uses the phone
100.88404,104.88356,3027,3147,#C C looks around
104.88356,109.49563,3147,3285,#C C plays with puppy
109.49563,112.49563,3285,3385,#C C looks around
