start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.7433796,3.6663796000000004,22,109,#C C starts recording
3.6663796000000004,8.4154396,109,252,#C C walks in kitchen
8.4154396,9.686859599999998,252,290,#C C opens cooking pot
9.686859599999998,10.872039599999999,290,326,#C C removes cooking pot from gas cooker
10.872039599999999,12.514649599999998,326,375,#C C puts it down
12.514649599999998,13.7538296,375,412,#C C picks eggs from cooking pot
13.7538296,15.7442596,412,472,#C C puts eggs in bowl
15.7442596,17.526619600000004,472,525,#C C puts cooking lid down
17.526619600000004,19.167509600000002,525,574,#C C pours water from cooking pot to the sink
19.167509600000002,20.869079600000003,574,625,#C C opens tap
20.869079600000003,27.410239600000004,625,822,#C C washes cooking pot
27.410239600000004,29.1101996,822,873,#C C picks washing sponge
29.1101996,30.5996796,873,917,#C C puts it in cooking pot
30.5996796,31.754589600000003,917,952,#C C puts washing soup in sponge
31.754589600000003,32.5551496,952,976,#C C puts washing soup down
32.5551496,33.3076096,976,999,#C C opens tap
33.3076096,41.5131596,999,1245,#C C washes cooking pot with sponge
41.5131596,42.7637196,1245,1282,#C C puts washing sponge down
42.7637196,44.7216096,1282,1341,#C C opens tap
44.7216096,63.4692096,1341,1903,#C C washes cooking pan
63.4692096,66.6445296,1903,1999,#C C closes tap
66.6445296,67.9839796,1999,2039,#C C puts cooking pot on gas cooker
67.9839796,72.54990959999999,2039,2176,#C C walks
72.54990959999999,77.56391959999999,2176,2326,#C C picks #unsure
77.56391959999999,79.1882596,2326,2375,#C C puts #unsure down
79.1882596,80.4779696,2375,2414,#C C opens kitchen cabinet
80.4779696,81.5590696,2414,2446,#C C picks a bowl
81.5590696,83.9313696,2446,2517,#C C puts a bowl down
83.9313696,85.9497596,2517,2578,#C C opens kitchen cabinet
85.9497596,86.14983959999999,2578,2584,#C C picks glass
86.14983959999999,88.7748696,2584,2663,#C C puts glass down
88.7748696,90.6465096,2663,2719,#C C picks #unsure
90.6465096,91.74854959999999,2719,2752,#C C opens #unsure
91.74854959999999,92.72795959999999,2752,2781,#C C picks knife
92.72795959999999,96.3567996,2781,2890,#C C cuts #unsure with knife
96.3567996,98.1178496,2890,2943,#C C puts knife down
98.1178496,99.9829996,2943,2999,#C C puts #unsure down
99.9829996,110.3589696,2999,3310,#C C puts #unsure in glass
110.3589696,110.9925296,3310,3329,#C C puts #unsure down
110.9925296,114.65108959999999,3329,3439,#C C #unsure
114.65108959999999,120.1737596,3439,3605,#C C puts #unsure in glass
120.1737596,121.64029959999999,3605,3649,#C C folds #unsure
121.64029959999999,123.71863959999999,3649,3711,#C C puts #unsure in cupboard
123.71863959999999,126.6101496,3711,3798,#C C closes cupboard
126.6101496,130.2030096,3798,3905,#C C puts #unsure in bowl
130.2030096,131.4504796,3905,3943,#C C puts glass down
131.4504796,132.3409796,3943,3970,#C C opens tap
132.3409796,133.7174296,3970,4011,#C C pours water in #unsure
133.7174296,136.7438496,4011,4102,#C C closes tap
136.7438496,138.49932959999998,4102,4154,#C C picks spoon
138.49932959999998,141.81156959999998,4154,4254,#C C moves #unsure
141.81156959999998,183.8208596,4254,5514,#C C stirs #unsure
183.8208596,184.8269396,5514,5544,#C C puts spoon in glass
184.8269396,185.9986096,5544,5579,#C C opens tap
185.9986096,188.23679959999998,5579,5646,#C C washes hand
188.23679959999998,205.1197396,5646,6153,#C C removes water from #unsure
205.1197396,208.7078196,6153,6261,#C C cleans hand
208.7078196,212.2552696,6261,6367,#C C closes tap
212.2552696,214.3861296,6367,6431,#C C picks spoon
214.3861296,215.0236096,6431,6450,#C C opens tap
215.0236096,223.7058596,6450,6711,#C C cleans spoon
223.7058596,224.8994696,6711,6746,#C C closes tap
224.8994696,228.4245896,6746,6852,#C C stirs #unsure
