start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
1.2973986,5.1867186,38,155,#C C walks
5.1867186,5.5667486,155,166,#C C opens tap water
5.5667486,7.9914886,166,239,#C C rubbing hands
7.9914886,8.0316586,239,240,#C C closed water tap
8.0316586,8.4462386,240,253,#C C press soap
8.4462386,21.198348600000003,253,635,#C C rubbing hands
21.198348600000003,26.0402186,635,781,#C C opens water tap
26.0402186,32.9685286,781,988,#C C washes hands
32.9685286,35.8165086,988,1074,#C C closed water tap
35.8165086,36.1286986,1074,1083,#C C holds towel
36.1286986,44.8049986,1083,1344,#C C wipes hands
44.8049986,45.8775386,1344,1376,#C C holds chopping board
45.8775386,47.5066986,1376,1425,#C C holds knife
47.5066986,49.0448686,1425,1471,#C C walks
49.0448686,51.2673286,1471,1537,#C C opens fridge
51.2673286,55.5857686,1537,1667,#C C picks packed food
55.5857686,56.672028600000004,1667,1700,#C C picked egg
56.672028600000004,58.6623286,1700,1759,#C C closed fridge
58.6623286,60.1883086,1759,1805,#C C puts egg on top of sink
60.1883086,63.9263686,1805,1917,#C C holds packed food
63.9263686,79.7951786,1917,2393,#C C opens packed food
79.7951786,88.4912586,2393,2654,#C C holds packed food
88.4912586,96.1956086,2654,2885,#C C opens kitchen cup board
96.1956086,96.5540786,2885,2896,#C C picks bowl
96.5540786,98.1170186,2896,2943,#C C holds bowl
98.1170186,100.54093859999999,2943,3016,#C C closed kitchen cup board
100.54093859999999,102.8795586,3016,3086,#C C puts bowl on the chop board
102.8795586,105.98023859999999,3086,3179,#C C holds bowl
105.98023859999999,109.34112859999999,3179,3280,#C C puts bowl on the steel stands
109.34112859999999,114.11015859999999,3280,3423,#C C holds packed food
114.11015859999999,146.49779859999998,3423,4394,#C C pour packed food in the bowl
146.49779859999998,147.4422386,4394,4423,#C C pours packed food in the sink
147.4422386,148.55626859999998,4423,4456,#C C folds paper
148.55626859999998,150.4324686,4456,4512,#C C puts paper in container
150.4324686,151.7685986,4512,4552,#C C holds bowl
151.7685986,152.7362686,4552,4581,#C C puts bowl on the chop board
152.7362686,152.85802859999998,4581,4585,#C C removes paper in the container
152.85802859999998,153.5181486,4585,4605,#C C holds paper
153.5181486,159.7224086,4605,4791,#C C puts paper on top sink
159.7224086,161.3314086,4791,4839,#C C holds jug
161.3314086,164.6173286,4839,4938,#C C opens tap water
164.6173286,165.7504586,4938,4972,#C C fetch water
165.7504586,166.6908186,4972,5000,#C C closed water tap
166.6908186,168.7186286,5000,5061,#C C holds jug
168.7186286,174.6544486,5061,5239,#C C holds egg
174.6544486,175.3184286,5239,5259,#C C opens tap water
175.3184286,179.4549486,5259,5383,#C C closed tag water
179.4549486,180.6335186,5383,5418,"#C C picks,,,,,"
180.6335186,182.4319486,5418,5472,#C C holds egg beater
182.4319486,185.26373859999998,5472,5557,#C C holds jug
185.26373859999998,198.74761859999998,5557,5962,#C C stirring
198.74761859999998,199.8898886,5962,5996,#C C holds jug
199.8898886,202.1904586,5996,6065,#C C puts jug on top of sink
202.1904586,243.9187986,6065,7317,#C C stirring
243.9187986,245.1829086,7317,7355,#C C holds jug
245.1829086,246.5349086,7355,7395,#C C puts jug on steel stand
246.5349086,247.99932859999998,7395,7439,#C C puts bowl on top of sink
247.99932859999998,249.7720086,7439,7493,#C C holds paper
249.7720086,251.6658486,7493,7549,#C C puts paper in a container
251.6658486,255.9701986,7549,7678,#C C wipes hands
255.9701986,258.3008686,7678,7748,#C C opens kitchen cupboard
258.3008686,258.9030086,7748,7766,#C C picks bowl
258.9030086,261.2927986,7766,7838,#C C holds bowl
261.2927986,262.57712860000004,7838,7877,#C C closed kitchen cupboard
262.57712860000004,265.0591686,7877,7951,#C C opens fridge
265.0591686,265.59214860000003,7951,7967,#C C picks packed food
