start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
1.1694685999999999,3.3739386000000002,34,101,#C C opens the fridge
3.3739386000000002,5.9746786,101,179,#C C picks up a bottle of #unsure
5.9746786,8.1626686,179,244,#C C puts the bottle on #unsure
8.1626686,12.1813586,244,365,#C C removes capsicum from the fridge
12.1813586,14.6944986,365,440,#C C closes the fridge
14.6944986,15.2085586,440,456,#C C touches a piece of cloth on the stand
15.2085586,19.9805186,456,599,#C C opens the kitchen cabinet door
19.9805186,21.3575586,599,640,#C C bends down
21.3575586,22.946188600000003,640,688,#C C touches a nylon paper next to the stand
22.946188600000003,28.7662486,688,862,#C C removes a packet of #unsure from the nylon paper
28.7662486,31.463388600000002,862,943,#C C touches a box
31.463388600000002,37.1258986,943,1113,#C C touches a packet
37.1258986,39.8830286,1113,1196,#C C touches a nylon paper
39.8830286,41.5446586,1196,1246,#C C stands up
41.5446586,42.5821886,1246,1277,#C C closes the kitchen cabinet door
42.5821886,45.8885586,1277,1376,#C C puts the packet on the counter
45.8885586,50.5767586,1376,1517,#C C walks
50.5767586,53.5767586,1517,1617,#C C touches the phone
