start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
3.74117,8.64555,112,259,#C C holds a pan
8.64555,11.48217,259,344,#C C stirs food
11.48217,25.38949,344,762,#C C stirs food
25.38949,32.03446,762,961,#C C plays with a dog
32.03446,36.13338,961,1084,#C C converses with A woman Y
36.13338,41.54631,1084,1246,#C C wears a camera
41.54631,45.93665,1246,1378,#C C opens a drawer
45.93665,48.35381,1378,1451,#C C touches A man X
48.35381,51.46344,1451,1544,#C C holds a pot
51.46344,53.18119,1544,1595,#C C opens the oven
53.18119,57.70709,1595,1731,#C C picks pan
57.70709,63.52268,1731,1906,#C C puts a pan on the oven
63.52268,66.45761,1906,1994,#C C removes meat from the oven
66.45761,71.58924,1994,2148,#C C puts meat on the oven
71.58924,74.24974,2148,2227,#O A man X stirs food
74.24974,78.37184,2227,2351,#C C stirs food with a fork
78.37184,81.45884,2351,2444,#C C turns meat with a fork
81.45884,85.67033,2444,2570,#C C turns meat with a fork
85.67033,88.1106,2570,2643,#C C turns meat with a fork
88.1106,97.08593,2643,2913,#C C turns meat with a fork
97.08593,104.55132,2913,3137,#O A man X washes a spoon
104.55132,108.9175,3137,3268,#C C puts a fork on a mitten
108.9175,116.96425,3268,3509,#C C walks around the kitchen
116.96425,119.20725,3509,3576,#O A man X stirs food with a spoon
119.20725,121.1915,3576,3636,#C C puts a cup on the kitchen counter
121.1915,123.5937,3636,3708,#O A man X stirs food with a spoon
123.5937,128.44468,3708,3853,#C C picks a mitten
128.44468,130.61271,3853,3918,#C C walks around the kitchen
130.61271,136.07185,3918,4082,#O A man X stirs food with a spoon
136.07185,137.85067,4082,4136,#O A man X washes his hand
137.85067,145.30066,4136,4359,#C C throws kitchen on the kitchen counter
145.30066,150.87364,4359,4526,#C C turns meat with a fork
150.87364,156.3699,4526,4691,#C C turns meat with a fork
156.3699,160.45272,4691,4814,#O A man X washes his hand
160.45272,162.66099,4814,4880,#O A man X closes a tap
162.66099,164.82381,4880,4945,#C C handles papers
164.82381,169.56881,4945,5087,#C C touches A man X
169.56881,171.21146,5087,5136,#C C opens a dish washer
171.21146,175.87389,5136,5276,#C C picks a knife
175.87389,178.41346,5276,5352,#C C picks a fruit
