start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0210286,0.6713386,0,20,#C C lowers the hand
0.6713386,1.7425686,20,52,#C C picks a chopping board
1.7425686,2.3369486000000004,52,69,#C C runs a faucet
2.3369486000000004,4.107728600000001,69,123,#C C rinses the chopping board
4.107728600000001,5.1032286000000004,123,152,#C C turns off the faucet
5.1032286000000004,5.2853586,152,158,#C C places the chopping board on the kitchen counter
5.2853586,5.9098186,158,177,#C C touches the chopping board
5.9098186,7.0497986,177,211,#C C opens the drawer
7.0497986,8.5931786,211,257,#C C picks a knife
8.5931786,9.5141286,257,285,#C C picks piece of white onion
9.5141286,12.5596486,285,376,#C C removes the cling film from the white onion
12.5596486,13.0483786,376,391,#C C moves the cling film on the counter
13.0483786,15.2182386,391,456,#C C drops the cling film
15.2182386,16.0245386,456,480,#C C turns the white onion
16.0245386,21.9838786,480,659,#C C cuts the white onion
21.9838786,23.0856386,659,692,#C C wipes the knife
23.0856386,27.1085786,692,813,#C C turns the white onion
27.1085786,28.926028600000002,813,867,#C C wipes the knife
28.926028600000002,39.4088386,867,1182,#C C clears the chopping board
39.4088386,40.142208600000004,1182,1204,#C C wipes the knife
40.142208600000004,41.3759186,1204,1241,#C C picks a piece of white onion
41.3759186,41.7124586,1241,1251,#C C places a piece of white onion on the chopping board
41.7124586,41.7786286,1251,1253,#C C drops the knife
41.7786286,42.119488600000004,1253,1263,#C C adjusts the chopping board
42.119488600000004,42.4504386,1263,1273,#C C picks a used cling film
42.4504386,43.1102186,1273,1293,#C C folds the cling film
43.1102186,43.8623586,1293,1315,#C C walks in the kitchen
43.8623586,44.7953786,1315,1343,#C C opens the trash bin
44.7953786,45.5230486,1343,1365,#C C throws the used cling film in the bin
45.5230486,46.3638186,1365,1390,#C C walks in the kitchen
46.3638186,48.8052086,1390,1464,#C C opens the drawer
48.8052086,49.1134386,1464,1473,#C C picks a bottle of ingredient
49.1134386,50.2378486,1473,1507,#C C closes the drawer
50.2378486,51.207238600000004,1507,1536,#C C opens the bottle of ingredient
51.207238600000004,53.8937586,1536,1616,#C C pours the ingredient in the pan
53.8937586,55.2635686,1616,1657,#C C seals the bottle of the ingredient
55.2635686,55.3028586,1657,1658,#C C drops the bottle of ingredient
55.3028586,56.1236486,1658,1683,#C C picks the chopping board with white onion
56.1236486,58.3713386,1683,1751,#C C picks the knife
58.3713386,61.5005586,1751,1844,#C C puts the white onions in the pan
61.5005586,62.6667486,1844,1879,#C C aligns the pieces of onions in the pan
62.6667486,65.04263859999999,1879,1951,#C C drops the chopping board
65.04263859999999,65.9323386,1951,1977,#C C opens the drawer
65.9323386,67.3907886,1977,2021,#C C picks the chop sticks
67.3907886,78.4069586,2021,2352,#C C stirs the onions in the pan
78.4069586,80.88396859999999,2352,2426,#C C picks a piece of onion
80.88396859999999,82.06944859999999,2426,2461,#C C places the piece of onion on the chopping board
82.06944859999999,82.8784086,2461,2486,#C C picks a knife
82.8784086,84.3686786,2486,2530,#C C cuts the piece of onion
84.3686786,85.14570859999999,2530,2554,#C C drops the knife
85.14570859999999,86.1115686,2554,2583,#C C picks the piece of onion
86.1115686,86.6140386,2583,2598,#C C places the piece of onion in the pan
86.6140386,89.0414586,2598,2671,#C C stirs the onions in the pan
89.0414586,89.8350686,2671,2694,#C C picks a food container with the food ingredient
89.8350686,93.1425486,2694,2794,#C C unseals the food container
93.1425486,94.9624886,2794,2848,#C C picks the food ingredient
94.9624886,95.8964286,2848,2876,#C C places the food ingredient in the chopping boars
95.8964286,97.7615386,2876,2932,#C C opens the drawer
97.7615386,99.32756859999999,2932,2979,#C C picks a food container from the drawer
99.32756859999999,101.6959586,2979,3050,#C C picks a container lid from the drawer
101.6959586,102.7549686,3050,3082,#C C places the the lid and the container on the chopping board
102.7549686,102.8467486,3082,3085,#C C picks the pieces of onions
102.8467486,103.6712986,3085,3110,#C C places the piece of onion in the container
103.6712986,104.33029859999999,3110,3129,#C C picks the pieces of onions
104.33029859999999,105.59999859999999,3129,3167,#C C places the piece of onion in the container
105.59999859999999,105.79142859999999,3167,3173,#C C seals the food container
105.79142859999999,106.4192686,3173,3192,#C C closes the drawer
106.4192686,106.93679859999999,3192,3207,#C C picks the food container
106.93679859999999,108.78167859999999,3207,3263,#C C walks in the kitchen
108.78167859999999,109.6595086,3263,3289,#C C opens the fridge
109.6595086,110.69150859999999,3289,3320,#C C places the food container in the fridge
110.69150859999999,111.2318686,3320,3336,#C C closes the fridge
111.2318686,112.30504859999999,3336,3369,#C C walks in the kitchen
112.30504859999999,113.53901859999999,3369,3406,#C C picks food ingredient
113.53901859999999,114.42901859999999,3406,3432,#C C runs the faucet
114.42901859999999,116.50727859999999,3432,3495,#C C washes the food ingredient
116.50727859999999,116.75686859999999,3495,3502,#C C turns off the faucet
116.75686859999999,117.88785859999999,3502,3536,#C C shakes the food ingredient
117.88785859999999,117.9553086,3536,3538,#C C places the #unsure on the chopping board
117.9553086,118.8346986,3538,3564,#C C picks a knife
118.8346986,131.5886186,3564,3947,#C C cuts the food ingredient
131.5886186,135.7858286,3947,4073,#C C clears the knife
135.7858286,140.3851186,4073,4211,#C C collects the food ingredient
140.3851186,141.5691386,4211,4246,#C C clears the knife
141.5691386,142.6965386,4246,4280,#C C drops the knife
142.6965386,144.1284086,4280,4323,#C C operates the AC
144.1284086,145.20400859999998,4323,4355,#C C walks in the kitchen
145.20400859999998,146.3097886,4355,4389,#C C opens the trash bin
146.3097886,148.3205286,4389,4449,#C C throws the trash in the bin
148.3205286,149.8970086,4449,4496,#C C walks in the kitchen
149.8970086,150.5366186,4496,4515,#C C picks the chop sticks
150.5366186,150.5366186,4515,4515,#C C stirs the onions in the pan
150.5366186,154.0809486,4515,4622,#C C picks the pieces of food ingredient
154.0809486,156.3998686,4622,4691,#C C places the pieces of #unsure in the chopping board
156.3998686,158.7180186,4691,4761,#C C moves the container on the kitchen counter
158.7180186,159.7591886,4761,4792,#C C operates the cooking gas
159.7591886,168.0643786,4792,5041,#C C stirs the onions in the pan
168.0643786,173.20929859999998,5041,5196,#C C operates the cooking gas
173.20929859999998,175.68548859999999,5196,5270,#C C touches the strips of bacon
175.68548859999999,177.1081486,5270,5313,#C C picks the piece of food ingredient
177.1081486,177.32122859999998,5313,5319,#C C runs a faucet
177.32122859999998,177.5078686,5319,5325,#C C washes the food ingredient
177.5078686,178.8243186,5325,5364,#C C turns off the faucet
178.8243186,180.58814859999998,5364,5417,#C C puts the food ingredient
180.58814859999998,181.2266986,5417,5436,#C C picks the knife
181.2266986,181.2275986,5436,5436,#C C picks the chopping board
181.2275986,183.1994386,5436,5495,#C C collects the pieces of food ingredient
183.1994386,184.70446859999998,5495,5541,#C C puts the pieces of food ingredient on the pan
184.70446859999998,191.53657859999998,5541,5745,#C C repositions the chop sticks
191.53657859999998,191.5528186,5745,5746,#C C drops the chopping board
191.5528186,192.2132486,5746,5766,#C C drops the knife
192.2132486,193.05519859999998,5766,5791,#C C picks the chop sticks
193.05519859999998,205.19317859999998,5791,6155,#C C stirs the food ingredients with chop sticks
205.19317859999998,216.0434886,6155,6481,#C C touches the pan
216.0434886,216.90745859999998,6481,6507,#C C moves the bowl with strips of bacon
216.90745859999998,219.0491686,6507,6571,#C C removes the cling film from the strips of bacon
219.0491686,224.0180086,6571,6720,#C C picks the strips of bacon
224.0180086,224.71645859999998,6720,6741,#C C places the strips of bacon in the chopping board
224.71645859999998,246.2875986,6741,7388,#C C straightens the strips of bacon
246.2875986,247.2077886,7388,7416,#C C picks the knife
247.2077886,253.7380986,7416,7612,#C C cuts the strips of bacon
253.7380986,254.61814859999998,7612,7638,#C C collects the pieces of bacon on the chopping board
254.61814859999998,254.91909859999998,7638,7647,#C C drops the knife
254.91909859999998,256.7688486,7647,7702,#C C picks the pieces of bacon
256.7688486,257.9034186,7702,7736,#C C places the pieces of bacon in the pan
257.9034186,258.27498860000003,7736,7748,#C C picks the pieces of bacon
258.27498860000003,259.41880860000003,7748,7782,#C C picks the chop sticks
259.41880860000003,260.44514860000004,7782,7813,#C C places the pieces of bacon in the pan
260.44514860000004,262.03268860000003,7813,7860,#C C folds the cling film
262.03268860000003,262.8778886,7860,7886,#C C picks the food container
262.8778886,263.43499860000003,7886,7902,#C C drops the food container
263.43499860000003,264.1798886,7902,7925,#C C picks a trash
264.1798886,265.18136860000004,7925,7955,#C C walks in the kitchen
265.18136860000004,266.7137786,7955,8001,#C C opens the trash bin
266.7137786,267.5179686,8001,8025,#C C throws the trash in the bin
267.5179686,268.4055586,8025,8052,#C C walks in the kitchen
268.4055586,268.5446686,8052,8056,#C C picks the knife
268.5446686,269.8304486,8056,8094,#C C picks a chopping board
269.8304486,270.6394586,8094,8119,#C C drops the chopping board with knife
270.6394586,271.4123786,8119,8142,#C C picks the food container
271.4123786,272.1248486,8142,8163,#C C runs a faucet
272.1248486,278.24172860000004,8163,8347,#C C washes the food container
278.24172860000004,278.4758186,8347,8354,#C C picks the knife
278.4758186,279.4458086,8354,8383,#C C picks the chopping board
279.4458086,281.9111186,8383,8457,#C C washes the utensils
281.9111186,282.05190860000005,8457,8461,#C C drops the knife on the chopping board
282.05190860000005,283.9756686,8461,8519,#C C drops the chopping board
283.9756686,284.79465860000005,8519,8543,#C C turns off the faucet
284.79465860000005,285.55325860000005,8543,8566,#C C picks a scouring pad
285.55325860000005,286.49174860000005,8566,8594,#C C picks liquid soap
286.49174860000005,287.54702860000003,8594,8626,#C C pours liquid soap onto dish cloth
287.54702860000003,288.1382886,8626,8644,#C C drops liquid soap
288.1382886,288.71594860000005,8644,8661,#C C rubs dish cloth
288.71594860000005,289.44332860000003,8661,8683,#C C picks knife
289.44332860000003,292.2461086,8683,8767,#C C washes knife
292.2461086,292.89185860000003,8767,8786,#C C drops knife
292.89185860000003,293.5159886,8786,8805,#C C picks chopping board
293.5159886,296.9643386,8805,8908,#C C washes chopping board
296.9643386,297.84479860000005,8908,8935,#C C turns chopping board
297.84479860000005,299.58410860000004,8935,8987,#C C washes chopping board
299.58410860000004,300.0158486,8987,9000,#C C turns chopping board
300.0158486,300.71473860000003,9000,9021,#C C drops dish cloth
300.71473860000003,302.1958786,9021,9065,#C C turns on faucet
302.1958786,312.2233686,9065,9366,#C C rinses cutting board
312.2233686,313.0310286,9366,9390,#C C picks knife
313.0310286,314.22655860000003,9390,9426,#C C drops cutting board
314.22655860000003,314.4968986,9426,9434,#C C rinses knife
314.4968986,315.5651586,9434,9466,#C C picks dish cloth
315.5651586,315.6873686,9466,9470,#C C washes knife
315.6873686,315.9139586,9470,9477,#C C drops dish cloth
315.9139586,322.49965860000003,9477,9674,#C C rinses knife
322.49965860000003,323.12327860000005,9674,9693,#C C drops knife
