start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0210286,5.8910286,0,176,#C C runs water on the cup tray
5.8910286,6.8290286,176,204,#C C picks up another cup tray
6.8290286,8.867558599999999,204,265,#C C puts the cup tray in the utensils tray
8.867558599999999,9.3500286,265,280,#O A man X enters the room carrying a tray of #unsure
9.3500286,10.0910286,280,302,#C C runs water on the other tray
10.0910286,18.388028600000002,302,551,#O A man X squats
18.388028600000002,18.7120286,551,561,#C C picks up the scrubber
18.7120286,20.894028600000002,561,626,#C C puts the cup tray in the utensils tray
20.894028600000002,22.426028600000002,626,672,#O A man X stands up
22.426028600000002,33.4975986,672,1004,#C C runs water on the serving dish lid
33.4975986,38.6790286,1004,1160,#C C puts the serving dish lid on the utensils tray
38.6790286,39.7420286,1160,1192,#C C picks up the chopping board with the right hand
39.7420286,43.1651186,1192,1294,#C C runs water on the chopping board
43.1651186,50.5610286,1294,1516,#C C scrubs the chopping board with the right hand
50.5610286,50.7348986,1516,1521,#C C picks up a container with right hand
50.7348986,53.9060286,1521,1617,#C C puts the chopping board on the utensils tray
53.9060286,57.3390286,1617,1720,#C C washes the container with both hands
57.3390286,58.1590286,1720,1744,#C C picks up the bowl with the left hand
58.1590286,59.6340286,1744,1788,#C C puts the container on the utensils
59.6340286,64.39502859999999,1788,1931,#C C cleans the bowl with both hands
64.39502859999999,64.9090286,1931,1947,#C C picks up the bowl with the left hand
64.9090286,66.27902859999999,1947,1988,#C C puts the bowl in the utensils tray with the right hand
66.27902859999999,72.5930286,1988,2177,#C C cleans the bowl
72.5930286,73.0152286,2177,2190,#C C picks up another bowl with the left hand
73.0152286,74.47802859999999,2190,2234,#C C puts the bowl in the utensils tray
74.47802859999999,85.58602859999999,2234,2567,#C C cleans the bowl
85.58602859999999,88.1230286,2567,2643,#C C puts the bowl in the utensils tray
88.1230286,88.89502859999999,2643,2666,#C C moves the bowl
88.89502859999999,89.6910286,2666,2690,#C C pours water off the bowl
89.6910286,101.64802859999999,2690,3049,#C C cleans the bowl
101.64802859999999,102.0360286,3049,3060,#C C picks up the tray with the left hand
102.0360286,105.36002859999999,3060,3160,#C C puts the bowl in the utensils tray
105.36002859999999,120.7750286,3160,3623,#C C cleans the tray
