start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.7425086,2.9835286,22,89,#C C Puts together the #unsure
2.9835286,6.4250986,89,192,#C C Cuts an onion into two halves with a knife
6.4250986,7.9727186,192,239,#C C Picks one half
7.9727186,19.2420286,239,577,#C C Chops the onion piece with a knife
19.2420286,20.7653286,577,622,#C C Removes the stuck pick from the knife with hand
20.7653286,34.7494886,622,1042,#C C Chops the onion piece with a knife
34.7494886,35.6683686,1042,1069,#C C Removes the stuck piece of onion from the knife with hand
35.6683686,37.1696386,1069,1114,#C C Picks another piece of an onion
37.1696386,37.9523186,1114,1138,#C C Places on the chopping board
37.9523186,46.3895586,1138,1391,#C C Chops the onion piece with a knife
46.3895586,48.5280786,1391,1455,#C C Removes the stuck piece of onion from the knife with hand
48.5280786,57.925048600000004,1455,1737,#C C Chops the onion piece with a knife
57.925048600000004,63.7175286,1737,1911,#C C Holds a phone
63.7175286,65.2288686,1911,1956,#C C Places down a knife
65.2288686,68.2288686,1956,2056,#C C Lifts the hands
