start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
8.12895,9.69712,244,291,#C C picks a pan from the cabinet
9.69712,12.12955,291,364,#C C holds the cabinet door
12.12955,17.89972,364,537,#C C puts the pan in to the cabinet
17.89972,19.08033,537,572,#C C picks a pan from the cabinet
19.08033,20.61944,572,619,#C C closes the cabinet door
20.61944,23.76566,619,713,#C C turns the camera around
23.76566,25.17765,713,755,#C C puts the pan on the banner
25.17765,28.32722,755,850,#C C turns on the gas cooker
28.32722,30.44279,850,913,#C C operates a phone
30.44279,31.23066,913,937,#C C puts the phone on the counter top
31.23066,32.31129,937,969,#C C picks the phone from the counter top
32.31129,32.92858,969,988,#C C holds a phone with two hands
32.92858,39.04975,988,1171,#C C operates a phone
39.04975,43.88882,1171,1317,#C C turns the camera around
43.88882,46.16819,1317,1385,#C C operates a phone
46.16819,53.29325,1385,1599,#C C turns the camera around
53.29325,58.89097,1599,1767,#C C picks a bun from the counter top
58.89097,69.22637,1767,2077,#C C cuts the bun into two
69.22637,70.1617,2077,2105,#C C holds a bun
70.1617,72.42613,2105,2173,#C C turns the camera around
72.42613,74.03377,2173,2221,#C C opens a microwave
74.03377,76.83347,2221,2305,#C C holds a bun
76.83347,79.11443,2305,2373,#C C puts the bun inside the microwave
79.11443,79.91374,2373,2397,#C C closes the microwave
79.91374,82.65721,2397,2480,#C C opens a microwave
82.65721,84.14504,2480,2524,#C C takes a piece of a bun from the microwave
84.14504,85.92575,2524,2578,#C C puts the bun on the upper shelf of a microwave
85.92575,86.45334,2578,2594,#C C turns the bun over
86.45334,88.06808,2594,2642,#C C puts the bun on the upper shelf of a microwave
88.06808,90.20538,2642,2706,#C C closes the microwave
90.20538,93.1414,2706,2794,#C C turns the camera around
93.1414,95.20913,2794,2856,#C C opens a refrigerator
95.20913,97.84305,2856,2935,#C C takes #unsure
97.84305,98.66862,2935,2960,#C C throws the package box
98.66862,108.48378,2960,3255,#C C turns the camera around
108.48378,118.93089,3255,3568,#C C turns the camera around
118.93089,130.866,3568,3926,#C C puts cheese in the pan
130.866,133.29077,3926,3999,#C C opens a refrigerator
133.29077,137.21889,3999,4117,#C C takes a pack of eggs
137.21889,137.65071,4117,4130,#C C places the pack on the counter top
137.65071,139.81874,4130,4195,#C C opens the pack
139.81874,142.14196,4195,4264,#C C takes an egg from the pack
142.14196,143.60584,4264,4308,#C C cracks the egg on the pan edge
143.60584,146.19889,4308,4386,#C C puts the egg York in the pan
146.19889,147.67412,4386,4430,#C C puts the egg shell on the dustbin
147.67412,149.21937,4430,4477,#C C takes an egg from the pack
149.21937,151.96156,4477,4559,#C C cracks the egg on the pan edge
151.96156,153.67264,4559,4610,#C C puts the egg York in the pan
153.67264,155.79196,4610,4674,#C C puts the egg shells together
155.79196,157.15709,4674,4715,#C C puts the egg shell on the dustbin
157.15709,158.35657,4715,4751,#C C presses the tap
158.35657,166.78064,4751,5003,#C C cleans the hands
166.78064,170.96301,5003,5129,#C C turns the camera around
170.96301,172.57849,5129,5177,#C C takes a tin from the counter top
172.57849,176.84297,5177,5305,#C C shakes off the powder to the egg in the pan
176.84297,177.9864,5305,5340,#C C puts the tin on the counter top
177.9864,179.01933,5340,5371,#C C takes a tin from the counter top
179.01933,182.00382,5371,5460,#C C shakes off the powder to the egg in the pan
182.00382,185.35547,5460,5561,#C C puts the tin on the counter top
185.35547,189.46439,5561,5684,#C C moves around the house
189.46439,191.80785,5684,5754,#C C takes the egg pack off the counter top
191.80785,193.7835,5754,5814,#C C opens a refrigerator
193.7835,195.99891,5814,5880,#C C puts the egg pack to the refrigerator
195.99891,196.83851,5880,5905,#C C pulls a shelf from the refrigerator
196.83851,200.33972,5905,6010,#C C takes a bag pack from the refrigerator
200.33972,201.56743,6010,6047,#C C takes a pack from the refrigerator
201.56743,206.15163,6047,6185,#C C puts the bag pack in the refrigerator
206.15163,206.78363,6185,6204,#C C pulls a shelf from the refrigerator
206.78363,211.1414,6204,6334,#C C pulls a shelf from the refrigerator
211.1414,214.9684,6334,6449,#C C turns the camera around
214.9684,216.42226,6449,6493,#C C pulls a drawer
216.42226,227.99967,6493,6840,#C C takes a slotted spatula
227.99967,239.60669,6840,7188,#C C turns the egg over with a slotted spatula
239.60669,240.59125,7188,7218,#C C puts the slotted spatula on the cooker surface
240.59125,242.35063,7218,7271,#C C turns the camera around
242.35063,244.57368,7271,7337,#C C opens a refrigerator
244.57368,247.53247,7337,7426,#C C turns off the cooking gas
247.53247,254.02771,7426,7621,#C C turns the camera around
254.02771,257.92377,7621,7738,#C C moves around the house
257.92377,260.4998,7738,7815,#C C turns the camera around
260.4998,263.11403,7815,7893,#C C enters into a room
263.11403,264.14572,7893,7924,#C C turns on the light
264.14572,264.92342,7924,7948,#C C opens a tap
264.92342,265.92504,7948,7978,#C C folds the sweater hands
265.92504,267.18895,7978,8016,#C C picks a lid from the sink top
267.18895,269.2716,8016,8078,#C C closes a tin
269.2716,270.88693,8078,8127,#C C puts the tin on the sink top
270.88693,272.57859,8127,8177,#C C opens the cabinet
272.57859,274.58656,8177,8238,#C C picks a bottle from the cabinet
274.58656,276.4893,8238,8295,#C C puts a liquid on a hand
276.4893,281.71359,8295,8451,#C C gives a dog to lick liquid on a hand
281.71359,282.40852,8451,8472,#C C gives a dog to lick liquid on a hand
282.40852,283.79108,8472,8514,#C C turns the camera around
283.79108,285.67312,8514,8570,#C C puts the bottle on the sink top
285.67312,287.96096,8570,8639,#C C gives the dog to lick the liquid on the hand
287.96096,289.36033,8639,8681,#C C rubs the dog gently at the back
289.36033,291.58307,8681,8747,#C C moves the camera around
291.58307,295.15886,8747,8855,#C C closes the tap
295.15886,295.96643,8855,8879,#C C takes the bottle from the sink top
295.96643,295.99959,8879,8880,#C C opens the cabinet door
295.99959,296.79961000000003,8880,8904,#C C puts the bottle in the cabinet
296.79961000000003,298.35821,8904,8951,#C C closes the cabinet door
298.35821,299.963,8951,8999,#C C takes the bowl full of water from the sink
299.963,301.8025,8999,9054,#C C moves the camera around
301.8025,303.45126,9054,9104,#C C puts the bowl on the floor
303.45126,306.2035,9104,9186,#C C moves the camera around
306.2035,308.48341,9186,9255,#C C opens the tap
308.48341,312.93985,9255,9388,#C C washes hands with a running water
312.93985,315.44495,9388,9463,#C C closes the tap
315.44495,316.55844,9463,9497,#C C moves the camera around
316.55844,317.30191,9497,9519,#C C takes a hand towel from a holder
317.30191,318.54173000000003,9519,9556,#C C wipes water with the hand towel
318.54173000000003,321.84523,9556,9655,#C C moves the camera around
