start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0210286,1.5100685999999999,0,45,#C C opens the drawer.
1.5100685999999999,3.7221086000000003,45,111,#C C looks around.
3.7221086000000003,4.4723786,111,134,#C C picks a scissors.
4.4723786,5.3060886,134,159,#C C puts on the tap.
5.3060886,6.1744586,159,185,#C C picks the washing sponge.
6.1744586,6.6559986,185,199,#C C washes the scissors.
6.6559986,10.5884986,199,317,#C C puts down the washing sponge.
10.5884986,12.0691686,317,361,#C C puts off the tap.
12.0691686,14.1640786,361,424,#C C cut the paper with the scissors.
14.1640786,16.6168286,424,498,#C C washes the scissors.
16.6168286,19.6775086,498,590,#C C cut the paper with the scissors.
19.6775086,20.8332286,590,624,#C C puts the scissors down.
20.8332286,21.7427186,624,652,#C C picks up the knife.
21.7427186,27.115598600000002,652,813,#C C washes the chopping board.
27.115598600000002,31.1902486,813,935,#C C put the chopping board and the knife down.
31.1902486,33.0626586,935,991,#C C looks at #unsure
33.0626586,36.367518600000004,991,1090,#C C picks up #unsure
36.367518600000004,37.1879586,1090,1115,#C C picks up the knife.
37.1879586,39.3393686,1115,1180,#C C cuts #unsure with the knife.
39.3393686,44.5941986,1180,1337,#C C washes the knife.
44.5941986,54.1186086,1337,1623,#C C cuts #unsure with the knife.
54.1186086,55.0904186,1623,1652,#C C puts the knife down.
55.0904186,66.75216859999999,1652,2002,#C C puts #unsure in the plate.
66.75216859999999,68.2850486,2002,2048,#C C picks up #unsure
68.2850486,69.8689486,2048,2095,#C C puts #unsure in the water.
69.8689486,70.5260586,2095,2115,#C C picks up the package.
70.5260586,72.5388086,2115,2176,#C C puts the package down.
72.5388086,73.9797086,2176,2219,#C C picks up the paper
73.9797086,76.5407486,2219,2296,#C C puts the paper in the dustbin.
76.5407486,85.9599386,2296,2578,#C C fixes the plates.
85.9599386,86.7989386,2578,2603,#C C picks up the scissors.
86.7989386,86.83629859999999,2603,2604,#C C opens the drawer.
86.83629859999999,88.08646859999999,2604,2642,#C C closes the drawer
88.08646859999999,89.17220859999999,2642,2675,#C C puts the scissors on the table.
89.17220859999999,91.1720586,2675,2735,#C C picks the chopping boar and the knife.
91.1720586,92.35500859999999,2735,2770,#C C puts the chopping board in the sink.
92.35500859999999,93.42999859999999,2770,2802,#C C wipes the sink.
93.42999859999999,95.58261859999999,2802,2867,#C C puts the scissors on the sink.
95.58261859999999,99.6780386,2867,2990,#C C opens the tin.
99.6780386,101.4682186,2990,3043,#C C looks at the greens in the tin.
101.4682186,104.00498859999999,3043,3120,#C C washes the greens.
104.00498859999999,122.4579086,3120,3673,#C C puts the greens in a plate.
122.4579086,124.1170386,3673,3723,#C C puts #unsure in the sink.
124.1170386,124.7301586,3723,3741,#C C picks up the paper.
124.7301586,125.23438859999999,3741,3756,#C C puts the paper down.
125.23438859999999,125.6969986,3756,3770,#C C picks up the tin lid.
125.6969986,127.2277086,3770,3816,#C C closes the lid.
