start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
1.4481986,2.0942486000000002,43,62,#C C Sews the sweater
2.0942486000000002,2.7173586000000003,62,81,#C C Talks to X
2.7173586000000003,5.0563986000000005,81,151,#C C Rolls the thread around the crochet
5.0563986000000005,5.6002586,151,167,#C C Sews the sweater
5.6002586,5.7448386000000005,167,172,#O Man X talks to C
5.7448386000000005,6.3546886,172,190,#C C Rolls the thread around the crochet
6.3546886,8.499688599999999,190,254,#C C Talks to X
8.499688599999999,9.652238599999999,254,289,#C C Sews the sweater
9.652238599999999,10.8774886,289,326,#C C Rolls the thread around the crochet
10.8774886,12.9821186,326,389,#C C Sews the sweater
12.9821186,14.760248599999999,389,442,#C C Straightens the thread
14.760248599999999,15.9164386,442,477,#C C Rolls the thread around the crochet
15.9164386,22.6902586,477,680,#C C Sews the sweater
22.6902586,23.8439886,680,715,#C C Rolls the thread around the crochet
23.8439886,24.7692486,715,742,#C C Sews the sweater
24.7692486,25.527088600000003,742,765,#O Man X stands beside the C
25.527088600000003,26.3711486,765,791,#C C Rolls the thread around the crochet
26.3711486,27.7661486,791,832,#C C Sews the sweater
27.7661486,29.3340186,832,879,#O Man X holds the phone
29.3340186,29.9634286,879,898,#C C Looks at the phone
29.9634286,32.6624086,898,979,#C C Talks to X
32.6624086,33.5734286,979,1007,#C C Sews the sweater
33.5734286,35.2633186,1007,1057,#C C Moves the sweater
35.2633186,35.6236486,1057,1068,#C C Holds the thread
35.6236486,37.897358600000004,1068,1136,#C C Rolls the thread around the crochet
37.897358600000004,38.7569086,1136,1162,#C C Sews the sweater
38.7569086,39.7729286,1162,1193,#C C Rolls the thread around the crochet
39.7729286,41.4419486,1193,1243,#C C Sews the sweater
41.4419486,42.7398886,1243,1282,#O Woman Y talks to C
42.7398886,43.3266786,1282,1299,#C C Picks the bottle
43.3266786,44.7647086,1299,1342,#C C Holds the bottle
44.7647086,46.2160486,1342,1386,#O Woman Y stands beside C
46.2160486,47.0639686,1386,1411,#C C Smells on the bottle
47.0639686,47.8083586,1411,1434,#C C Holds the bottle
47.8083586,49.6690786,1434,1489,#C C Looks at the bottle
49.6690786,50.5872286,1489,1517,#C C Smells on the bottle
50.5872286,51.2236086,1517,1536,#C C Holds the bottle with the left hand
51.2236086,51.8913286,1536,1556,#C C Scoops the oil from the bottle
51.8913286,52.4678686,1556,1573,#C C Applies the oil on the fingers
52.4678686,54.3132086,1573,1629,#C C Lifts the hand
54.3132086,54.7374786,1629,1641,#C C Looks at the finger
54.7374786,55.280418600000004,1641,1658,#C C Rubs the fingers
55.280418600000004,57.9756686,1658,1739,#C C Lifts the hand
57.9756686,58.690338600000004,1739,1760,#O Woman Y picks the bottle
58.690338600000004,59.4483486,1760,1783,#O Woman Y holds the bottle
59.4483486,60.4443086,1783,1813,#C C Lifts the hand
60.4443086,61.4117586,1813,1842,#O Woman Y talks to C
61.4117586,61.922608600000004,1842,1857,#C C Talks to Y
61.922608600000004,62.5243086,1857,1875,#C C Rubs the hand against the chair
62.5243086,64.17073859999999,1875,1924,#C C Rubs the hands
64.17073859999999,65.65312859999999,1924,1969,#O Woman Y walks toward the house
65.65312859999999,66.13876859999999,1969,1984,#C C Holds the sweater
66.13876859999999,66.41369859999999,1984,1992,#C C Moves the sweater
66.41369859999999,67.48676859999999,1992,2024,#C C Talks to Y
67.48676859999999,67.92337859999999,2024,2037,#C C Holds the thread
67.92337859999999,69.3535086,2037,2080,#C C Rolls the thread around the crochet
69.3535086,71.06990859999999,2080,2131,#C C Sews the sweater
71.06990859999999,72.1613486,2131,2164,#C C Rolls the thread around the crochet
72.1613486,73.78251859999999,2164,2213,#C C Sews the sweater
73.78251859999999,74.93501859999999,2213,2247,#C C Rolls the thread around the crochet
74.93501859999999,77.51970859999999,2247,2325,#C C Sews the sweater
77.51970859999999,79.0021086,2325,2369,#C C Rolls the thread around the crochet
79.0021086,79.51577859999999,2369,2385,#C C Holds the thread
79.51577859999999,80.51828859999999,2385,2415,#C C Rolls the thread around the crochet
80.51828859999999,82.77360859999999,2415,2483,#C C Sews the sweater
82.77360859999999,84.12510859999999,2483,2523,#C C Rolls the thread around the crochet
84.12510859999999,86.8490786,2523,2605,#C C Sews the sweater
86.8490786,87.8008486,2605,2633,#C C Rolls the thread around the crochet
87.8008486,90.4405886,2633,2713,#C C Sews the sweater
90.4405886,91.29232859999999,2713,2738,#C C Rolls the thread around the crochet
91.29232859999999,93.23779859999999,2738,2797,#C C Sews the sweater
93.23779859999999,94.24200859999999,2797,2827,#C C Rolls the thread around the crochet
94.24200859999999,97.48671859999999,2827,2924,#C C Sews the sweater
97.48671859999999,97.9463186,2924,2938,#C C Moves the sweater together
97.9463186,98.3249986,2938,2949,#C C Holds the thread
98.3249986,99.42658859999999,2949,2982,#C C Rolls the thread around the crochet
99.42658859999999,101.22991859999999,2982,3036,#C C Sews the sweater
101.22991859999999,101.77261859999999,3036,3053,#C C Rolls the thread around the crochet
101.77261859999999,104.0958486,3053,3122,#C C Sews the sweater
104.0958486,104.88616859999999,3122,3146,#C C Rolls the thread around the crochet
104.88616859999999,106.72910859999999,3146,3201,#C C Sews the sweater
106.72910859999999,107.68389859999999,3201,3230,#C C Rolls the thread around the crochet
107.68389859999999,108.43089859999999,3230,3252,#C C Holds the sweater
108.43089859999999,109.42246859999999,3252,3282,#C C Turns the sweater
109.42246859999999,110.2845986,3282,3308,#C C Holds the sweater
110.2845986,112.0159886,3308,3360,#C C Sews the sweater
112.0159886,113.18424859999999,3360,3395,#C C Rolls the thread around the crochet
113.18424859999999,115.5031786,3395,3464,#C C Sews the sweater
115.5031786,116.4322086,3464,3492,#C C Rolls the thread around the crochet
116.4322086,118.3261986,3492,3549,#C C Sews the sweater
118.3261986,119.10075859999999,3549,3572,#C C Rolls the thread around the crochet
