start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.4878386,5.7906486,14,173,#C C washes hands
5.7906486,8.4744686,173,254,#C C wipes hands
8.4744686,11.0614186,254,331,#C C picks dirt
11.0614186,12.792258599999998,331,383,#C C throws dirt in sink
12.792258599999998,19.3166686,383,579,#C C turns pan
19.3166686,27.666158600000003,579,829,#C C takes spoon
27.666158600000003,63.845468600000004,829,1915,#C C flips food
63.845468600000004,64.64377859999999,1915,1939,#C C puts spoon on dishrack
64.64377859999999,66.4526686,1939,1993,#C C opens cabinet
66.4526686,67.24393859999999,1993,2017,#C C takes lid
67.24393859999999,68.7402786,2017,2062,#C C closes cabinet
68.7402786,71.6408086,2062,2149,#C C covers pan
71.6408086,73.6105786,2149,2208,#C C takes bowl
73.6105786,75.7114086,2208,2271,#C C takes cabbage
75.7114086,81.6002486,2271,2447,#C C puts cabbage on bowl
81.6002486,91.3477786,2447,2740,#C C washes hand
91.3477786,126.64874859999999,2740,3799,#C C adds spices in cabbage
126.64874859999999,142.4146386,3799,4272,#C C puts roux in bowl
142.4146386,151.0656386,4272,4531,#C C puts cream in bowl
151.0656386,185.1865686,4531,5555,#C C mixes salad on bowl
185.1865686,189.8851086,5555,5696,#C C washes hands
189.8851086,192.7371286,5696,5781,#C C wipes hands
192.7371286,196.9222086,5781,5907,#C C opens cabinet
196.9222086,197.9004486,5907,5936,#C C puts sauce bottle on cabinet
197.9004486,198.7710686,5936,5963,#C C closes cabinet
198.7710686,200.4637586,5963,6013,#C C opens draw
200.4637586,202.4431286,6013,6073,#C C takes plate
202.4431286,202.79560859999998,6073,6083,#C C closes draw
202.79560859999998,206.1351886,6083,6183,#C C puts plate on cabinet
206.1351886,208.5964586,6183,6257,#C C takes salt
208.5964586,215.7206186,6257,6471,#C C shakes salt
215.7206186,216.7970786,6471,6503,#C C opens draw
216.7970786,218.0596586,6503,6541,#C C takes scissors
218.0596586,221.83375859999998,6541,6654,#C C cuts packet
221.83375859999998,225.2059086,6654,6756,#C C puts scissors in draw
225.2059086,229.2269886,6756,6876,#C C puts packet on gas cooker
229.2269886,230.6999586,6876,6920,#C C wipes hands
230.6999586,232.3211886,6920,6969,#C C opens draw
232.3211886,233.2113186,6969,6996,#C C takes nylon bag
233.2113186,236.17312859999998,6996,7085,#C C closes draw
236.17312859999998,239.06254859999999,7085,7171,#C C puts nylon bag on gas cooker
239.06254859999999,242.5854186,7171,7277,#C C opens cooking pot
242.5854186,243.45042859999998,7277,7303,#C C puts lid in sink
243.45042859999998,245.74278859999998,7303,7372,#C C takes spoon
245.74278859999998,250.3248586,7372,7509,#C C presses on food
250.3248586,254.7860086,7509,7643,#C C flips food
254.7860086,258.16999860000004,7643,7744,#C C puts off gas cooker
258.16999860000004,260.8411586,7744,7825,#C C puts food on plate
260.8411586,263.32689860000005,7825,7899,#C C puts pan on gas cooker
263.32689860000005,265.7113686,7899,7971,#C C opens sauce bottle
265.7113686,273.88383860000005,7971,8216,#C C sprinkles sauce on food
273.88383860000005,275.4723086,8216,8264,#C C opens fridge
275.4723086,279.66015860000005,8264,8389,#C C takes cream
279.66015860000005,282.0334586,8389,8460,#C C opens cream bottle
282.0334586,289.30150860000003,8460,8678,#C C sprinkles cream on food
289.30150860000003,290.2383886,8678,8707,#C C opens fridge
290.2383886,290.8758086,8707,8726,#C C puts cream bottle in fridge
290.8758086,292.53880860000004,8726,8776,#C C closes fridge
292.53880860000004,295.2862586,8776,8858,#C C takes salt
295.2862586,296.9742086,8858,8909,#C C puts tooth pick in dustbin
296.9742086,308.53574860000003,8909,9255,#C C sprinkles salt on food
308.53574860000003,310.6990986,9255,9320,#C C puts salt packet on gas cooker
310.6990986,316.1230486,9320,9483,#C C takes thyme
316.1230486,327.1402186,9483,9814,#C C sprinkles thyme on food
327.1402186,328.5573686,9814,9856,#C C puts thyme on gas cooker
328.5573686,331.28047860000004,9856,9938,#C C moves plate
331.28047860000004,334.28047860000004,9938,10038,#C C adjusts camera
