start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
6.9970286,8.767148599999999,209,262,#C C drops his hands.
8.767148599999999,10.3714886,262,311,#C C walks in the room.
10.3714886,13.904538599999999,311,417,#C C opens the refrigerator.
13.904538599999999,17.6536586,417,529,#C C picks a container.
17.6536586,19.4953086,529,584,#C C closes the refrigerator.
19.4953086,21.4192286,584,642,#C C places the container next to the sink.
21.4192286,25.615308600000002,642,768,#C C opens the container.
25.615308600000002,26.3354386,768,789,#C C holds a glass in the container.
26.3354386,29.750338600000003,789,892,#C C scoops a glass of rice from the container.
29.750338600000003,30.8632586,892,925,#C C pours the rice in a bowl.
30.8632586,33.6766086,925,1010,#C C scoops a glass of rice from the container.
33.6766086,35.5377486,1010,1066,#C C pours the rice in a bowl.
35.5377486,36.2793686,1066,1088,#C C holds the lid.
36.2793686,39.8161786,1088,1194,#C C covers the container with a lid.
39.8161786,42.7112986,1194,1281,#C C walks in the room.
42.7112986,44.4971386,1281,1334,#C C opens the refrigerator.
44.4971386,46.7032086,1334,1400,#C C holds the container containing rice .
46.7032086,49.351738600000004,1400,1480,#C C holds #Unsure in the refrigerator.
49.351738600000004,50.3706786,1480,1510,#C C places the container containing rice in the refrigerator.
50.3706786,53.0604086,1510,1591,#C C places #Unsure in the refrigerator.
53.0604086,54.0006286,1591,1619,#C C lifts his hand.
54.0006286,56.2308186,1619,1686,#C C touches #unsure
56.2308186,57.2236986,1686,1716,#C C holds #Unsure in the refrigerator.
57.2236986,59.4825286,1716,1784,#C C picks #Unsure in the refrigerator.
59.4825286,59.6506786,1784,1789,#C C looks at #unsure
59.6506786,61.6335386,1789,1848,#C C walks towards the sink.
61.6335386,62.8110486,1848,1884,#C C places #unsure in the sink.
62.8110486,66.0614086,1884,1981,#C C walks towards the refrigerator.
66.0614086,67.18796859999999,1981,2015,#C C looks in the refrigerator.
67.18796859999999,67.9551386,2015,2038,#C C closes the refrigerator.
67.9551386,70.3727086,2038,2111,#C C walks towards the sink.
70.3727086,73.9984286,2111,2219,#C C opens the tap.
73.9984286,79.8500986,2219,2395,#C C cleans the rice .
79.8500986,81.8974386,2395,2456,#C C closes the tap.
81.8974386,86.35844859999999,2456,2590,#C C drains the water from the rice .
86.35844859999999,108.9392086,2590,3268,#C C cleans the rice .
108.9392086,111.4856186,3268,3344,#C C opens the tap.
111.4856186,114.3804086,3344,3431,#C C cleans the rice .
114.3804086,115.15693859999999,3431,3454,#C C holds #unsure
115.15693859999999,119.56698859999999,3454,3586,#C C lifts his hands.
119.56698859999999,120.2618586,3586,3607,#C C drops his hands.
120.2618586,122.0051386,3607,3660,#C C cleans the rice.
122.0051386,124.3319586,3660,3729,#C C closes the tap.
124.3319586,132.4729286,3729,3974,#C C drains water from the rice.
132.4729286,134.0167286,3974,4020,#C C opens the tap.
134.0167286,140.3720086,4020,4211,#C C cleans the rice.
140.3720086,141.6912386,4211,4250,#C C closes the tap.
141.6912386,145.4366586,4250,4362,#C C drains water from the rice.
145.4366586,146.9804786,4362,4409,#C C opens the tap.
146.9804786,151.5030286,4409,4544,#C C cleans the rice.
151.5030286,152.4316186,4544,4572,#C C closes the tap.
152.4316186,158.8054786,4572,4764,#C C drains water from the rice.
158.8054786,159.6619686,4764,4789,#C C opens the tap.
159.6619686,163.3356586,4789,4899,#C C cleans the rice.
163.3356586,164.5657886,4899,4936,#C C closes the tap.
164.5657886,168.1648986,4936,5044,#C C drains water from the rice.
168.1648986,169.2123886,5044,5076,#C C opens the tap.
