start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.0210286,1.1360086,0,33,#C C fixes camera
1.1360086,2.8865386,33,86,#C C looks around the kitchen
2.8865386,4.6336786000000005,86,138,#C C opens fridge
4.6336786000000005,5.4624486,138,163,#C C pulls a drawer
5.4624486,8.3541286,163,250,#C C checks in the drawer
8.3541286,9.261658599999999,250,277,#C C picks #unsure
9.261658599999999,11.092448599999999,277,332,#C C checks in the drawer
11.092448599999999,12.1128486,332,363,#C C picks #unsure
12.1128486,12.6800786,363,380,#C C places #unsure in the drawer
12.6800786,13.983368599999999,380,419,#C C pushes the drawer
13.983368599999999,14.868828599999999,419,445,#C C closes the fridge
14.868828599999999,16.5777386,445,497,#C C walks around the kitchen
16.5777386,19.0856886,497,572,#C C picks scissors
19.0856886,21.5978986,572,647,#C C cuts #unsure pack
21.5978986,23.0609586,647,691,#C C places the scissors on the table
23.0609586,24.7453586,691,742,#C C picks a chopping board
24.7453586,25.048868600000002,742,751,#C C opens water tap
25.048868600000002,28.4347186,751,852,#C C rinses the chopping board
28.4347186,29.487868600000002,852,884,#C C closes water tap
29.487868600000002,30.6068286,884,918,#C C removes extra water from the chopping board
30.6068286,31.1102886,918,933,#C C moves a piece of paper
31.1102886,31.770258600000002,933,952,#C C places the chopping board on the table
31.770258600000002,32.3143186,952,969,#C C picks #unsure
32.3143186,33.4878686,969,1004,#C C removes #unsure from the pack
33.4878686,35.7911686,1004,1073,#C C places #unsure on the chopping board
35.7911686,36.2306386,1073,1086,#C C places the pack on the table
36.2306386,36.6096486,1086,1098,#C C picks a piece of paper
36.6096486,37.1417886,1098,1114,#C C places the piece of paper in the pack
37.1417886,37.795348600000004,1114,1133,#C C places the pack on the table
37.795348600000004,38.2891186,1133,1148,#C C moves scissors on the table
38.2891186,39.1183886,1148,1173,#C C picks a pot
39.1183886,39.8493986,1173,1195,#C C places the pot on the table
39.8493986,40.9087386,1195,1227,#C C looks around the kitchen
40.9087386,41.8129586,1227,1254,#C C opens a cabinet
41.8129586,42.6804286,1254,1280,#C C picks a knife
42.6804286,43.5220986,1280,1305,#C C closes the cabinet
43.5220986,45.6835186,1305,1370,#C C holds #unsure
45.6835186,55.2544086,1370,1657,#C C cuts #unsure
55.2544086,55.7048686,1657,1671,#C C picks #unsure
55.7048686,56.3606886,1671,1690,#C C places #unsure in the pot
56.3606886,57.8472986,1690,1735,#C C picks #unsure
57.8472986,58.3170486,1735,1749,#C C places #unsure in the pot
58.3170486,59.0939186,1749,1772,#C C moves #unsure on the chopping board
59.0939186,67.11087859999999,1772,2013,#C C cuts #unsure
67.11087859999999,67.77343859999999,2013,2033,#C C picks #unsure
67.77343859999999,68.5146886,2033,2055,#C C places #unsure in the pot
68.5146886,69.1719486,2055,2075,#C C moves #unsure on the chopping board
69.1719486,77.66906859999999,2075,2329,#C C cuts #unsure
77.66906859999999,78.29841859999999,2329,2348,#C C picks #unsure
78.29841859999999,79.1597486,2348,2374,#C C places #unsure in the pot
79.1597486,79.7313386,2374,2391,#C C moves #unsure on the chopping board
79.7313386,87.0988386,2391,2612,#C C cuts #unsure
87.0988386,87.96593859999999,2612,2638,#C C picks #unsure
87.96593859999999,88.77688859999999,2638,2663,#C C places #unsure in the pot
88.77688859999999,89.2967386,2663,2678,#C C places the knife on the chopping board
89.2967386,90.88660859999999,2678,2726,#C C moves the chopping board
90.88660859999999,91.2485586,2726,2737,#C C opens water tap
91.2485586,96.5346986,2737,2895,#C C rinses the knife and the chopping board
96.5346986,97.2350486,2895,2916,#C C closes water tap
97.2350486,98.36489859999999,2916,2950,#C C removes extra water from the chopping board
98.36489859999999,99.3904786,2950,2981,#C C places the chopping board on the table
99.3904786,100.03108859999999,2981,3000,#C C removes extra water from hands
100.03108859999999,102.17516859999999,3000,3065,#C C walks around the kitchen
102.17516859999999,103.0005286,3065,3089,#C C moves pot on the cooker
103.0005286,109.1672086,3089,3274,#C C looks around the kitchen
109.1672086,110.4702786,3274,3313,#C C picks a pot
