start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
7.6091886,15.337398599999998,228,459,#C C puts flat bread on the pan
15.337398599999998,27.133898600000002,459,813,#C C turns flat bread the other way
27.133898600000002,38.5457786,813,1156,#C C pushes flat bread on the table
38.5457786,40.9901486,1156,1229,#C C turns flat bread the other way
40.9901486,50.6052786,1229,1518,#C C pushes flat bread on the table
50.6052786,54.0927586,1518,1622,#C C lifts the bowl up
54.0927586,56.0911286,1622,1682,#C C pushes flat bread on the table
56.0911286,65.0159786,1682,1950,#C C turns flat bread the other way
65.0159786,71.3745086,1950,2141,#C C takes the serving spoon
71.3745086,79.67166859999999,2141,2390,#C C opens a pot lid
79.67166859999999,82.8686386,2390,2485,#C C turns flat bread the other way
82.8686386,85.76667859999999,2485,2572,#C C opens a platter lid
85.76667859999999,87.9187486,2572,2637,#C C takes a platter
87.9187486,101.1592986,2637,3034,#C C puts pieces of meat on a boiling soup
101.1592986,101.6353786,3034,3048,#C C puts the platter down on the floor
101.6353786,103.8766586,3048,3116,#C C puts serving spoon on top of a platter
103.8766586,106.01868859999999,3116,3180,#C C covers the pot with a lid
106.01868859999999,109.33087859999999,3180,3279,#C C removes flat bread on the pan
109.33087859999999,112.75637859999999,3279,3382,#C C puts flat bread on the pan
112.75637859999999,115.08014859999999,3382,3452,#C C spins the flat bread on a flour
115.08014859999999,120.0391586,3452,3601,#C C pushes flat bread on the table
120.0391586,122.8731086,3601,3686,#C C turns flat bread the other way
122.8731086,125.97977859999999,3686,3779,#C C spins the flat bread on a flour
125.97977859999999,140.8153686,3779,4224,#C C pushes flat bread on the table
140.8153686,151.2588886,4224,4537,#C C turns flat bread the other way
151.2588886,159.2410286,4537,4777,#C C turns the flat bread on the hand
159.2410286,161.2322586,4777,4836,#C C turns flat bread the other way
161.2322586,166.0116286,4836,4980,#C C puts flat bread on top of a flat bread
166.0116286,166.9456686,4980,5008,#C C turns flat bread the other way
166.9456686,169.86491859999998,5008,5095,#C C removes flat bread on the pan
169.86491859999998,173.9808086,5095,5219,#C C puts flat bread on the pan
173.9808086,177.5758386,5219,5327,#C C turns flat bread the other way
177.5758386,181.8513486,5327,5455,#C C spins the flat bread on the flour
181.8513486,184.1807486,5455,5525,#C C turns flat bread the other way
184.1807486,190.6582186,5525,5719,#C C takes a platter
190.6582186,195.78173859999998,5719,5873,#C C video is to dark
195.78173859999998,198.4545886,5873,5953,#C C turns flat bread the other way
198.4545886,205.1996886,5953,6155,#C C spins the flat bread on the flour
205.1996886,213.1747186,6155,6395,#C C pushes the flat bread on the table
213.1747186,216.4579086,6395,6493,#C C turns flat bread the other way
