start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
1.27187,2.70283,38,81,#C C returns the # #unsure in the fridge
2.70283,6.90516,81,207,# C C looks around the fridge
6.90516,11.96811,207,359,# C C takes the food container from the fridge
11.96811,20.94194,359,628,# C C walks
20.94194,24.46998,628,734,# C C places the food container on the kitchen cabinet
24.46998,28.54172,734,856,# C C opens the food container
28.54172,39.04098,856,1171,# C C looks around
39.04098,44.75793,1171,1343,# C C takes a knife from the kitchen cabinet
44.75793,66.84345,1343,2005,# C C cuts the food into pieces
66.84345,69.13962,2005,2074,# C C turns the food container
69.13962,81.06606,2074,2432,# C C cuts the food into pieces
81.06606,82.67108,2432,2480,# C C places the knife on the kitchen cabinet
82.67108,87.90155,2480,2637,# C C takes the food pieces
87.90155,89.69431,2637,2691,# C C puts food into another food container
89.69431,92.51303,2691,2775,# C C takes the food pieces
92.51303,107.28733,2775,3219,# C C puts food into another food container
107.28733,111.88761,3219,3357,# C C turns the food in the container
111.88761,112.11105,3357,3363,# C C cuts food with her hand
112.11105,117.10112,3363,3513,# C C places the food in the other container
117.10112,117.90238,3513,3537,#C C walks
117.90238,118.81239,3537,3564,# C C opens the water tap
118.81239,125.75125,3564,3773,# C C washes hands
125.75125,126.70328,3773,3801,#CC closes the water tap
126.70328,131.16299,3801,3935,#C C walks
131.16299,133.08034,3935,3992,# C C takes the kitchen towel on the oven handle
133.08034,134.09563,3992,4023,# C C wipes hands with the kitchen towel
134.09563,136.74273,4023,4102,# C C looks around
136.74273,139.38256,4102,4181,# C C returns the kitchen towel on the oven handle
139.38256,144.545,4181,4336,#C C walks
144.545,149.04705,4336,4471,# C C closes the food container
149.04705,150.54269,4471,4516,# C C takes the food container from the kitchen cabinet
150.54269,154.06211,4516,4622,#C C walks
154.06211,157.61843,4622,4729,# C C opens the fridge
157.61843,167.7821,4729,5033,# C C puts the food container in the fridge
167.7821,168.31214,5033,5049,# C C closes the fridge
168.31214,173.56179,5049,5207,#C C walks
173.56179,174.8375,5207,5245,# C C opens the water tap
174.8375,176.0844,5245,5283,# C C washes hand
176.0844,176.81574,5283,5304,# C C closes water tap
176.81574,179.81574,5304,5404,# C C walks
