start_timestamp,stop_timestamp,start_frame,stop_frame,narration_text
0.12102860000000001,0.5709086,3,16,#O A woman Y hands #C a bowl
0.5709086,1.6634186,16,49,#C C holds a bowl
1.6634186,2.5340186,49,75,#C C puts a bowl on the kitchen worktop
2.5340186,5.1356586,75,153,#C C puts a bowl on the kitchen worktop
5.1356586,6.9071886000000005,153,207,#C C touches a pan
6.9071886000000005,9.1484586,207,274,#C C opens lifts a lid from the pan
9.1484586,13.0577486,274,391,#C C places a lid on a kitchen worktop
13.0577486,15.289708599999999,391,458,#C C picks a spoon
15.289708599999999,18.1151586,458,543,#C C scoops food from the pan
18.1151586,20.911398600000002,543,627,#C C serves food in a bowl
20.911398600000002,23.8019486,627,713,#C C scoops food from the pan
23.8019486,24.8486286,713,745,#C C scoops food from the pan with a spoon
24.8486286,27.8450886,745,835,#C C serves food in a bowl
27.8450886,29.375528600000003,835,881,#C C scoops food from the pan with a spoon
29.375528600000003,31.9080386,881,957,#C C serves food in a bowl
31.9080386,32.6579386,957,979,#C C puts a bowl on the kitchen worktop
32.6579386,35.711738600000004,979,1071,#C C picks a bowl
35.711738600000004,37.5142586,1071,1125,#C C scoops food from the pan with a spoon
37.5142586,39.833068600000004,1125,1194,#C C serves food in a bowl
39.833068600000004,40.0495486,1194,1201,#C C scoops food from the pan with a spoon
40.0495486,40.9333886,1201,1227,#C C puts a bowl on the kitchen worktop
40.9333886,42.5544086,1227,1276,#C C serves food in a bowl
42.5544086,43.7600786,1276,1312,#C C scraps spoon on the pan
43.7600786,44.5607186,1312,1336,#C C scoops food from the pan with a spoon
44.5607186,45.9526786,1336,1378,#C C serves food in a bowl
45.9526786,47.1979886,1378,1415,#C C picks a bowl
47.1979886,49.841148600000004,1415,1495,#C C scoops food with a spoon from the bowl
49.841148600000004,52.745698600000004,1495,1582,#C C serves food in a bowl
52.745698600000004,53.993438600000005,1582,1619,#C C scoops food with a spoon from the bowl
53.993438600000005,56.0480486,1619,1681,#C C serves food in a bowl
56.0480486,57.400828600000004,1681,1721,#C C moves food in the bowl using a spoon
57.400828600000004,57.9473286,1721,1738,#C C moves food in the bowl using a spoon
57.9473286,60.210978600000004,1738,1806,#C C puts a bowl with food on the kitchen worktop
60.210978600000004,61.317688600000004,1806,1839,#C C puts a spoon in a pan
61.317688600000004,64.3176886,1839,1939,#C C handles a camera
